"term","alternate_forms","passback_section","passback_explanation","existing_glossary_anchor","proposed_layer","match_status","review_status","notes"
"Link","","Combining multiple tricks","The typical way that the sport is played is with strings or runs, which are continuous flows of tricks performed in an unplanned “stream of consciousness” style. Tricks performed one after another are said to be linked together. String length is counted in “contacts,” which in this context is used generically to encompass tricks, stalls, kicks, etc. Ex: a 12-contact string.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Magic hop","","Setting the Bag","To get more energy and rhythm into stalls and sets, the magic hop is used, where the support leg does a small hop just before and just after the bag is stalled on the set foot. The magic hop helps to use less energy and smoothen stalls and sets. It doesn’t seem to be universally agreed upon if the magic hop refers to the hop during “catch” or “set”, or rather a combination of the two.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Marathon","marathon drilling","Combining multiple tricks","A marathon drill is a drill that is repeated for a large number of contacts or until a period of time has passed (ex: 100 contacts of Mirage>ss Mirage rpt; 60 seconds of Mirage>ss Mirage rpt). When marathon drilling, drops do not interrupt the contact count (ex: drop on contact 24, next attempt is contact 25). Marathon drilling is often used to train consistency of specific tricks and general endurance.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Midstring","","Combining multiple tricks","Doing a trick, or being able to do a trick in the middle of a string is called midstring, which is typically much harder than doing the trick in isolation.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Midtime","","Trick phases","Trick phases A single trick can be broken down into three phases depending on which direction the bag is moving at a given time. The uptime of a trick is in the time when the bag is moving up, the downtime is when the bag is moving down, and the midtime is the brief moment in between uptime and midtime when the bag is peaking.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Mirage Race","","Competitive Disciplines","Mirage Race is a joke event where players race towards a finish line but can only move forward by doing the trick Mirage.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Mirror","","Combining multiple tricks","A mirror is a link where the two tricks are mirror images of each other when comparing them in forward and reverse motion. For example, Smear>Atomic Legover is a mirror link because if the combo were reversed after the second trick, it would play back as Smear>Atomic Legover (like a palindrome).","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Mods","modifications","","Shoe mods        2","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Muted","","In the air","A muted component is one where an active leg is held in the air for the entirety of a component without putting it on the ground. Like symposium and symple, it’s mostly used for dexes, but can be applied to other components as well. Some combinations of components more naturally lead to something muted (like Clipper>Swirl), while for others doing something muted is a variation (like Pixie ss Mirage).","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Near","","Sides","Sides A component can be further specified with a side to describe exactly which half of the body should perform it. Sides are described relatively to the previous component, and it’s rarely important whether it’s “left” or “right” side, but rather same-side (ss)/near or opposite (op)/far. When thinking about the body as two vertical halves, ss connects two components performed on the same vertical half, while op connects two components performed on one vertical half and then the other.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Net","","Non-Freestyle Footbag Disciplines/Games","Footbag net is a sport played over a net with similar rules to volleyball.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Nickname","","Trick names","Technical names can get quite long, so many common tricks have nicknames, usually created by the inventor of the trick. For example, “Stepping op Butterfly” has the nickname of “Ripwalk.” Not every trick has a nickname, but even if they do, it’s always valid to use the technical name to describe it.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Non-unique","","Combining multiple tricks","Within a string or combo, the tricks can be classified as either unique or non-unique, signifying if they’ve been done before on that specific side of the body. For example, Mirage>Legover>Mirage>ss Legover has three unique contacts: two for the Mirages on each side, and one for the Legover on one side. Even though the second Legover is a ss variant, it’s not counted as unique from the previous one because it is fundamentally the same trick.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"One sided","","Combining multiple tricks","Both sides or bs refers to doing a trick using both sides of the body. A combo/string/player/etc that predominantly uses both sides can be called both sided, while one predominantly using one side can be called one sided.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Opposite","op|far","Ducks","Ducking: head moves towards the bag, bag falls to the opposite side the head moved Weaving: head moves towards the bag, bag falls to the same side the head moved Diving: head moves over the bag and under it back to the original position, bag falls to the same side as the initial head movement Zulu: head moves over the bag and under it back to the original position, bag falls to the opposite side as the initial head movement Spins Spins are performed by rotating the entire body to various degrees: gyro means to spin 180 degrees, while spinning means to spin 360 degrees. The two terms can be combined, along with double or triple, to create a spin of any half or full degree. Ex: Spinning Gyro = 450 degrees, Gyro Gyro = 180 degrees, then 180 degrees in the other direction.","op","educational","existing_term","auto_ok","matches UX1 token: Opposite side"
"Out-in (dex direction)","out","","","out","educational","existing_term","auto_ok","matches UX1 token: Out (outward arc)"
"Outside","","Contact Surfaces","Contact Surfaces The most common contact surfaces are the toe and inside surfaces of the shoe, as well as the less commonly used outside, heel, and sole surfaces. Any non-shoe surface just uses the name for the part of the body, such as knee, calf, or back.","outside","educational","existing_term","auto_ok","matches UX1 token: Outside (delay surface)"
"Over-dex","","Ending a trick or string","A bailed trick is one that was attempted but modified on the fly to something easier to avoid dropping (ex: was going for a Spinning Whirl but bailed to Spinning Clipper because the set was too low). A footed trick is one that was almost hit, but the bag rolled off the stalling foot at the end. A dropped trick could also be over-dexed if the leg dexes too far which causes it to miss the bag entirely.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Panels","","Bags","Bags are constructed with different numbers of panels and these numbers are used to refer to the style of bag, most commonly 32s and 14s, but can be any number. Bags can be filled with various kinds of fill, such as plastic or sand, but most often metal, which gives them enough weight to properly control and feel.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Paradox","pdx","","Paradox        5","paradox","educational","existing_term","auto_ok","matches UX1 token: Paradox (body modifier; +1)"
"Pass","passback","Ducks","Ducks Ducks are performed by dipping the head in a particular direction and allowing the bag to pass around the neck. Ducking, diving, weaving, and zulu are all variations of the general ducking component that differ in the direction the head moves and where the bag goes after the duck:","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Peaking","peak","Trick phases","Trick phases A single trick can be broken down into three phases depending on which direction the bag is moving at a given time. The uptime of a trick is in the time when the bag is moving up, the downtime is when the bag is moving down, and the midtime is the brief moment in between uptime and midtime when the bag is peaking.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Pincher","","Other Contacts","Other Contacts Other less common types of contacts are: rolls, where the bag literally rolls from one position to another; pincher, where the bag is grabbed with the back of the knee; burger or stallburger where the bag is trapped between two surfaces (usually with the bag in a Toe Stall and using the other shoe on top); transfer, where the bag is moved from one contact to another; wrap where an Inside Stall is moved into a Clipper (or vice versa); walkover where the stalling foot is placed on the ground and the other steps over it; and rake where the bag is grabbed from one position and dragged to another, most commonly from Xbd to Toe. The bag can also be caught in or set from a rooted position, meaning that the foot the bag is on is on the ground.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Props","","Circles","Circles The most common way to play freestyle footbag with others is in a circle: players form a literal circle, usually with 3-5 people, and take individual turns with the bag to do tricks. Play progresses in order, usually clockwise, and when a player’s turn is over they pass the bag to the next player for their turn. After a player’s turn, they will often get props (like a high five) from the others when they do something cool.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"PS","paradox symposium","Shoe mods","Most other mods don’t have a special name and generally have descriptive names, except for the Brocka (“Brochka” or “Brokka”, depending on where you live) mod. This mod was named after former player Peter Brocka (who is now the mayor of Trnava, Slovakia). A Brocka mod is the removal of material from the inner ankle area, which helps to create a flatter inside surface.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Pulled","","Execution","A pulled or slurry set is one where the bag is dragged through an uptime dex or a spin before the intended component actually happens (ex: a Stepping set where the leg passes over the bag while the bag remains on the set foot). Pulled spins are also sometimes referred to as froggy.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"PWF","pdx whirl-free","ADD Groupings","Within the Fearless and Beastly tiers is the subcategory of “PDX Whirl-Free” (PWF), which means to do those combos without any “Pdx Whirl” component. Pdx Whirl is the simplest 4-ADD component, which makes PWF Fearless/Beastly much more challenging.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Pyramid","","For-Fun Games","Pyramid is a combo-building game: one player does one trick, then the next player has a few attempts (usually 3) to repeat that trick, and add one more trick of their choosing to create the start of a combo. The next player repeats the 2-trick combo and adds one more trick, and so on with each player adding one more trick to create a longer and longer combo. If a player fails to complete the combo + 1 trick, they are eliminated. Play continues until one player remains.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Quantums","","Shoes","Shoes Though footbag can be played barefoot or with any kind of shoe, there are certain kinds that are most-suited to the sport. Among the many brands and models used over the years, the two that have most become part of the culture are the Adidas Rod Laver and Quantums. For a long time, from the mid-90s to mid-2010s, Lavers were the standard freestyle shoe, but the specific model that was popular is no longer made. Quantums were the first shoes designed specifically for footbag by the community itself which had a run in the 2010s and have recently been redesigned and released.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Rake","","Other Contacts","Other Contacts Other less common types of contacts are: rolls, where the bag literally rolls from one position to another; pincher, where the bag is grabbed with the back of the knee; burger or stallburger where the bag is trapped between two surfaces (usually with the bag in a Toe Stall and using the other shoe on top); transfer, where the bag is moved from one contact to another; wrap where an Inside Stall is moved into a Clipper (or vice versa); walkover where the stalling foot is placed on the ground and the other steps over it; and rake where the bag is grabbed from one position and dragged to another, most commonly from Xbd to Toe. The bag can also be caught in or set from a rooted position, meaning that the foot the bag is on is on the ground.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Repeat","rpt","Combining multiple tricks","A drill is a combo that is done using one side of the body, which then repeats exactly but with the other side of the body. A drill can be notated in string notation with just the unique half and then “rpt” at the repeat point. Ex: Mirage>Legover rpt = Mirage>Legover>Mirage>Legover. To notate more or less contacts of a drill either “[N] contacts of [drill]” or “[drill] x[N]” can be used. Ex: 3 contacts of Mirage>Legover rpt = Mirage>Legover>Mirage; Mirage>Legover rpt x3 = 12 total contacts.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Request","","Competitive Disciplines","Request is an elimination-style event where organizers prepare ahead of time a list of links which players must then complete with no prior knowledge or practice.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Rewind","","Combining multiple tricks","A rewind combo is similar to a drill, but at the halfway point, the combo order reverses instead of taking the same order. For example, Legover>ss Mirage>ss Mirage>Legover.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Rippin run","","","","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Roll","","Bags","Brand new bags tend to have stiff material that needs to be broken-in. A not broken-in bag will often be rolly and harder to control, while a well broken-in bag will be more floppy or stally.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Rolly","","Bags","Brand new bags tend to have stiff material that needs to be broken-in. A not broken-in bag will often be rolly and harder to control, while a well broken-in bag will be more floppy or stally.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Rooted","","Other Contacts","Other Contacts Other less common types of contacts are: rolls, where the bag literally rolls from one position to another; pincher, where the bag is grabbed with the back of the knee; burger or stallburger where the bag is trapped between two surfaces (usually with the bag in a Toe Stall and using the other shoe on top); transfer, where the bag is moved from one contact to another; wrap where an Inside Stall is moved into a Clipper (or vice versa); walkover where the stalling foot is placed on the ground and the other steps over it; and rake where the bag is grabbed from one position and dragged to another, most commonly from Xbd to Toe. The bag can also be caught in or set from a rooted position, meaning that the foot the bag is on is on the ground.","rooted","educational","existing_term","auto_ok","matches UX1 token: Rooted (set modifier; 0 ADD)"
"Routine","","Ending a trick or string","If the player makes a mistake and the bag lands on the ground, that is a drop or a dropped trick. Any combination of tricks performed without dropping can be said to be dropless; this term is usually applied in a competitive context (ex: a “dropless routine”) to imply a high level of control.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Run","","Shoes","Shoes Though footbag can be played barefoot or with any kind of shoe, there are certain kinds that are most-suited to the sport. Among the many brands and models used over the years, the two that have most become part of the culture are the Adidas Rod Laver and Quantums. For a long time, from the mid-90s to mid-2010s, Lavers were the standard freestyle shoe, but the specific model that was popular is no longer made. Quantums were the first shoes designed specifically for footbag by the community itself which had a run in the 2010s and have recently been redesigned and released.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Same side","ss|near","Ducks","Ducking: head moves towards the bag, bag falls to the opposite side the head moved Weaving: head moves towards the bag, bag falls to the same side the head moved Diving: head moves over the bag and under it back to the original position, bag falls to the same side as the initial head movement Zulu: head moves over the bag and under it back to the original position, bag falls to the opposite side as the initial head movement Spins Spins are performed by rotating the entire body to various degrees: gyro means to spin 180 degrees, while spinning means to spin 360 degrees. The two terms can be combined, along with double or triple, to create a spin of any half or full degree. Ex: Spinning Gyro = 450 degrees, Gyro Gyro = 180 degrees, then 180 degrees in the other direction.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Scoop","scoopy|scooped","Execution","A trick that ends on a toe stall that is caught with a very arced or circular motion instead of a straight up and down motion is referred to as scooped or scoopy.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Seal","","Ending a trick or string","Ending a trick or string A string or a trick can be ended in one of a few ways. In footbag, players hit tricks, as opposed to “landing” them. If a player hits a trick and catches the bag, that is a handcatch, and in string notation can be written as [trick]>hand, which usually implies good execution and control. The term seal is also used to imply hitting a trick with enough control to do something after; ex: “Whirl sealed with Mirage.”","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Self-serve","","Circles","Within a circle, If a player wants to give the previous one another turn for any reason they can give them a passback. A player might also self-serve to themselves which, depending on who you ask, could be seen as disrespectful to the other players. Another “YMMV” disrespectful move is to toe scrape or toe up the bag by sliding it onto your foot using the sole of the other, which could cause damage to it on rough ground.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Set","set foot|set (uptime)","","Setting the Bag        2","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Shoey","","Execution","A clean dex is one performed within the dex window, which is the phantom space in the air that the leg draws around the bag. A deep dex is one performed high in the window, further away from the shoe. A thin dex is one performed close to the edge of the window, closer to the shoe, and a very thin dex performed with just a bit of the shoe is sometimes called shoey.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Shred","","Tricks","Tricks Footbag tricks are performed using a footbag and various parts of the body, most prominently the legs. To practice a trick without the bag, to get a feel for the motions, is to air shred it.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Shred 30","","Competitive Disciplines","Shred 30 is a formula-based event where players have 30 seconds to do a combo and are scored on the ADD count and uniqueness of the combo.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Shred-Off","","Competitive Disciplines","Circle and Battle are variants of a straight-ahead technical showdown. Circle mimics the style of a casual circle, while Battle is 1-on-1. Shred-Off is an online-only async variant of Battle.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Shuffle","shuffling","Combining multiple tricks","A shuffle combo or shuffling is made out of linking tricks together that use uptime dexing sets.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Sick 1","sick 3","Competitive Disciplines","Sick 1 and Sick 3 are “best trick” competitions, where Sick 1 is best single trick, and Sick 3 is best 3-trick combo.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Side","","","Sides        5","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Sideways","","Stance","Because toe and clipper are the most common contacts, there are two terms to describe a player’s preference for the sides of those. A left/right bigfoot player is one whose strong toe and clipper use the same foot. A left/right sideways player is one whose strong toe and clipper use the same side.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Slurry","","Execution","A pulled or slurry set is one where the bag is dragged through an uptime dex or a spin before the intended component actually happens (ex: a Stepping set where the leg passes over the bag while the bag remains on the set foot). Pulled spins are also sometimes referred to as froggy.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Sole","","Contact Surfaces","Contact Surfaces The most common contact surfaces are the toe and inside surfaces of the shoe, as well as the less commonly used outside, heel, and sole surfaces. Any non-shoe surface just uses the name for the part of the body, such as knee, calf, or back.","sole","educational","existing_term","auto_ok","matches UX1 token: Sole (unusual surface)"
"Spin","spinning|gyro","","Spins        4","spin","educational","existing_term","auto_ok","matches UX1 token: Spin (body rotation)"
"Stall","","Bags","Brand new bags tend to have stiff material that needs to be broken-in. A not broken-in bag will often be rolly and harder to control, while a well broken-in bag will be more floppy or stally.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Stally","","Bags","Brand new bags tend to have stiff material that needs to be broken-in. A not broken-in bag will often be rolly and harder to control, while a well broken-in bag will be more floppy or stally.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Stomping","stomp","In the air","Stomping is an oldschool component that refers to setting the bag, slamming both feet on the ground at the same time, and performing the trick in one big jump.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"String","string notation","","Ending a trick or string        8","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Strong side","","Stance","Stance Since the majority of tricks can be done identically using either side of the body, there are a couple of terms to denote a player’s side preferences. A player’s preferred side for a trick or a trick component is their strong side, and their non-preferred one is their flip side.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Support foot","","","","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Surface","","","Contact Surfaces        3","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Symple","symp","In the air","A symple component is one that starts symposium but midway through, the non-symple foot returns to the ground. Like symposium, symple is normally applied to dexes, but can be used for any component that fits the description. A trick that is more naturally done symple can technically be done symposium, but the bag would have to be caught in a rooted position (ex: Legover, Swirl).","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Symposium","symp","","Symposium modifiers        7","symposium","educational","existing_term","auto_ok","matches UX1 token: Symposium (body modifier; +1)"
"Technical name","","Trick names","The technical name of a trick is one that uses the simplest named version of every component and relative side to connect them as necessary. Oftentimes, the side is implied by the previous component and is not needed. For example, the technical name of the trick “Phoenix” is Pixie Ducking Butterfly, with “Ducking op Butterfly” being implied.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"The","","","As much as possible, the terms in this document are defined from simple to complex. Terms defined later in the document often build upon ones from earlier in the document. The first use of a term is bolded, while further uses of it are in normal text. Alphabetical index of all terms can be found at the end of the document.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Thin","","Bags","Equipment Bags Footbags, or bags for short, are the primary piece of equipment used to play freestyle footbag. Within footbag culture, you’ll mostly hear people refer to them as footbags or bags, but you’ll sometimes hear them referred to as hacks or even hacky sacks (somewhat ironically).","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Tiltless","","ADD Groupings","ADD Groupings Based on how many ADDs a trick has, it can be grouped and sorted into various tiers: 2-ADD and up tricks are referred to as Tiltless tricks. 3-ADD and up as Guiltless, 4 and up as Tripless, 5 and up as Fearless, 6 and up as Beastly, and 7 and up as Godly. For ADD tiers 2-5, the names can drop the “-less” suffix to describe the tier below them, for example: “Tilts” refers to 1-ADD tricks, “Guilts” 2-ADD, and so on. There are also special names for 3-trick Beastly and Godly combos: a 6>6>6 is called a “Beast”, and a 7>7>7 is called a “Jackpot”.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Toe (surface)","toe (contact)","","","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Toe box","","Shoe mods","Most shoes that are used for footbag need some modifications or mods in order to reach their full potential. The most common one is a toe wall mod, which pulls the toe walls away from the toe surface and creates a toe box that is large and sturdy enough to hold a bag.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Toe player","","Toe & Clipper","Tricks that primarily use either toe or clipper are called toe tricks or clipper tricks and players that favor one kind over the other can be described as toe players or clipper players.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Toe scrape","toe up","Circles","Within a circle, If a player wants to give the previous one another turn for any reason they can give them a passback. A player might also self-serve to themselves which, depending on who you ask, could be seen as disrespectful to the other players. Another “YMMV” disrespectful move is to toe scrape or toe up the bag by sliding it onto your foot using the sole of the other, which could cause damage to it on rough ground.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Toe wall","","Shoe mods","Most shoes that are used for footbag need some modifications or mods in order to reach their full potential. The most common one is a toe wall mod, which pulls the toe walls away from the toe surface and creates a toe box that is large and sturdy enough to hold a bag.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Tournament","","Events & Competition","Events & Competition There are generally two types of footbag events that are hosted: tournaments and jams. Tournaments are focused on competition, with the World Championships (or Worlds) being the biggest tournament of the year. Jams are more casual events, and may still have competition, but are more focused on getting regional players together for a fun time.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Transfer","","Other Contacts","Other Contacts Other less common types of contacts are: rolls, where the bag literally rolls from one position to another; pincher, where the bag is grabbed with the back of the knee; burger or stallburger where the bag is trapped between two surfaces (usually with the bag in a Toe Stall and using the other shoe on top); transfer, where the bag is moved from one contact to another; wrap where an Inside Stall is moved into a Clipper (or vice versa); walkover where the stalling foot is placed on the ground and the other steps over it; and rake where the bag is grabbed from one position and dragged to another, most commonly from Xbd to Toe. The bag can also be caught in or set from a rooted position, meaning that the foot the bag is on is on the ground.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Trials","","Combining multiple tricks","And while it’s not necessarily multiple tricks, combining traditional tricks with physical obstacles is called trials.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Tripless","","ADD Groupings","ADD Groupings Based on how many ADDs a trick has, it can be grouped and sorted into various tiers: 2-ADD and up tricks are referred to as Tiltless tricks. 3-ADD and up as Guiltless, 4 and up as Tripless, 5 and up as Fearless, 6 and up as Beastly, and 7 and up as Godly. For ADD tiers 2-5, the names can drop the “-less” suffix to describe the tier below them, for example: “Tilts” refers to 1-ADD tricks, “Guilts” 2-ADD, and so on. There are also special names for 3-trick Beastly and Godly combos: a 6>6>6 is called a “Beast”, and a 7>7>7 is called a “Jackpot”.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Unique","","Combining multiple tricks","Within a string or combo, the tricks can be classified as either unique or non-unique, signifying if they’ve been done before on that specific side of the body. For example, Mirage>Legover>Mirage>ss Legover has three unique contacts: two for the Mirages on each side, and one for the Legover on one side. Even though the second Legover is a ss variant, it’s not counted as unique from the previous one because it is fundamentally the same trick.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Unusual","UNS (ADD category)","","","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Uptime","","Trick phases","Trick phases A single trick can be broken down into three phases depending on which direction the bag is moving at a given time. The uptime of a trick is in the time when the bag is moving up, the downtime is when the bag is moving down, and the midtime is the brief moment in between uptime and midtime when the bag is peaking.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Walkover","","Other Contacts","Other Contacts Other less common types of contacts are: rolls, where the bag literally rolls from one position to another; pincher, where the bag is grabbed with the back of the knee; burger or stallburger where the bag is trapped between two surfaces (usually with the bag in a Toe Stall and using the other shoe on top); transfer, where the bag is moved from one contact to another; wrap where an Inside Stall is moved into a Clipper (or vice versa); walkover where the stalling foot is placed on the ground and the other steps over it; and rake where the bag is grabbed from one position and dragged to another, most commonly from Xbd to Toe. The bag can also be caught in or set from a rooted position, meaning that the foot the bag is on is on the ground.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Weave","weaving","","","weaving","educational","existing_term","auto_ok","matches UX1 token: Weaving (body modifier; +1)"
"Window","","Execution","A clean dex is one performed within the dex window, which is the phantom space in the air that the leg draws around the bag. A deep dex is one performed high in the window, further away from the shoe. A thin dex is one performed close to the edge of the window, closer to the shoe, and a very thin dex performed with just a bit of the shoe is sometimes called shoey.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Worlds","world championships","Events & Competition","Events & Competition There are generally two types of footbag events that are hosted: tournaments and jams. Tournaments are focused on competition, with the World Championships (or Worlds) being the biggest tournament of the year. Jams are more casual events, and may still have competition, but are more focused on getting regional players together for a fun time.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Wrap","","Other Contacts","Other Contacts Other less common types of contacts are: rolls, where the bag literally rolls from one position to another; pincher, where the bag is grabbed with the back of the knee; burger or stallburger where the bag is trapped between two surfaces (usually with the bag in a Toe Stall and using the other shoe on top); transfer, where the bag is moved from one contact to another; wrap where an Inside Stall is moved into a Clipper (or vice versa); walkover where the stalling foot is placed on the ground and the other steps over it; and rake where the bag is grabbed from one position and dragged to another, most commonly from Xbd to Toe. The bag can also be caught in or set from a rooted position, meaning that the foot the bag is on is on the ground.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Xbd","","Toe & Clipper","A Clipper is an Inside Stall in a crossbody (xbd) position, meaning that one leg is positioned behind the other. In order to get the flattest possible surface for an Inside Stall or Clipper, you have to bend or crank your ankle in order to flex the inside surface upwards.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"XBD (ADD category)","","","","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Xdex","","ADD Categories","ADD Categories ADDs are counted in whole numbers and are awarded for various components that are each worth 1 ADD: DEL, DEX, XBD (with the same meanings as previously defined), UNS for any contact surfaces apart from Toe, Inside, Outside, and Knee), and BOD for any Spinning, Ducking, Paradox, Symp, Flying, or Xdex component. Xdex is similar to Paradox in that it involves hip pivoting and positioning the body between dexes, but for Toe tricks instead of Xbd ones (ex: the movement in an Atomsmasher after the set to bring the Mirage leg under the bag).","xdex","educational","existing_term","auto_ok","matches UX1 token: X-Dex (component flag; +1)"
"Zulu","","Ducks","Ducks Ducks are performed by dipping the head in a particular direction and allowing the bag to pass around the neck. Ducking, diving, weaving, and zulu are all variations of the general ducking component that differ in the direction the head moves and where the bag goes after the duck:","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
