"name","slug","governance_state","category","source_corpus","ecosystems","parent_family","completeness","publication_status","parse_confidence","add_confidence"
"Nuclear ss Whirl (Hurl)","nuclear-ss-whirl-hurl","3 Observationally represented","D","stanford","whirl-swirl|blurry-furious","","name-only","","",""
"Nuclear Symposium DLO (Oh Wheely)","nuclear-symposium-dlo-oh-wheely","3 Observationally represented","D","stanford","symposium|dlo-double-down|blurry-furious","","name-only","","",""
"Nuclear Torque","nuclear-torque","3 Observationally represented","D","stanford","blender-torque|blurry-furious","","name-only","","",""
"Pixie Weaving Butterfly","pixie-weaving-butterfly","3 Observationally represented","D","stanford","pixie|weaving","","name-only","","",""
"Pixie Weaving Mirage","pixie-weaving-mirage","3 Observationally represented","D","stanford","pixie|weaving","","name-only","","",""
"Pixie Weaving Osis","pixie-weaving-osis","3 Observationally represented","D","stanford","pixie|weaving","","name-only","","",""
"Pixie Weaving Symposium Mirage","pixie-weaving-symposium-mirage","3 Observationally represented","D","stanford","pixie|symposium|weaving","","name-only","","",""
"Pixie Weaving Whirl","pixie-weaving-whirl","3 Observationally represented","D","stanford","pixie|whirl-swirl|weaving","","name-only","","",""
"Pogo Barrage","pogo-barrage","3 Observationally represented","D","stanford","pogo","","name-only","","",""
"Pogo Blender","pogo-blender","3 Observationally represented","D","stanford","blender-torque|pogo","","name-only","","",""
"Pogo Clipper","pogo-clipper","3 Observationally represented","D","stanford","pogo","","name-only","","",""
"Pogo Da Da Curve","pogo-da-da-curve","3 Observationally represented","D","stanford","pogo","","name-only","","",""
"Pogo DLO","pogo-dlo","3 Observationally represented","D","stanford","dlo-double-down|pogo","","name-only","","",""
"Pogo Drifter","pogo-drifter","3 Observationally represented","D","stanford","pogo","","name-only","","",""
"Pogo Eggbeater","pogo-eggbeater","3 Observationally represented","D","stanford","pogo","","name-only","","",""
"Pogo Illusion","pogo-illusion","3 Observationally represented","D","stanford","pogo","","name-only","","",""
"Pogo Legover","pogo-legover","3 Observationally represented","D","stanford","pogo","","name-only","","",""
"Pogo Mirage","pogo-mirage","3 Observationally represented","D","stanford","pogo","","name-only","","",""
"Pogo Motion","pogo-motion","3 Observationally represented","D","stanford","pogo","","name-only","","",""
"Pogo ss Clipper","pogo-ss-clipper","3 Observationally represented","D","stanford","pogo","","name-only","","",""
"Pogo ss Flail","pogo-ss-flail","3 Observationally represented","D","stanford","pogo","","name-only","","",""
"Pogo ss Illusion","pogo-ss-illusion","3 Observationally represented","D","stanford","pogo","","name-only","","",""
"Pogo ss Legover","pogo-ss-legover","3 Observationally represented","D","stanford","pogo","","name-only","","",""
"Pogo ss Mirage","pogo-ss-mirage","3 Observationally represented","D","stanford","pogo","","name-only","","",""
"Pogo ss Pickup","pogo-ss-pickup","3 Observationally represented","D","stanford","pogo","","name-only","","",""
"Pogo ss Symposium Mirage","pogo-ss-symposium-mirage","3 Observationally represented","D","stanford","symposium|pogo","","name-only","","",""
"Pogo Torque","pogo-torque","3 Observationally represented","D","stanford","blender-torque|pogo","","name-only","","",""
"Pogo Whirl","pogo-whirl","3 Observationally represented","D","stanford","whirl-swirl|pogo","","name-only","","",""
"Pogo Whirling Swirl","pogo-whirling-swirl","3 Observationally represented","D","stanford","whirl-swirl|pogo","","name-only","","",""
"Shooting Barfly (Porn Star)","shooting-barfly-porn-star","3 Observationally represented","D","stanford","shooting","","name-only","","",""
"Shooting Clipper","shooting-clipper","3 Observationally represented","D","stanford","shooting","","name-only","","",""
"Shooting Da Da Curve","shooting-da-da-curve","3 Observationally represented","D","stanford","shooting","","name-only","","",""
"Shooting DDD (Shooting Star)","shooting-ddd-shooting-star","3 Observationally represented","D","stanford","shooting","","name-only","","",""
"Shooting DLO","shooting-dlo","3 Observationally represented","D","stanford","dlo-double-down|shooting","","name-only","","",""
"Shooting Ducking Butterfly","shooting-ducking-butterfly","3 Observationally represented","D","stanford","ducking|shooting","","name-only","","",""
"Shooting Eggbeater (Red Wetter)","shooting-eggbeater-red-wetter","3 Observationally represented","D","stanford","shooting","","name-only","","",""
"Shooting Gyro Mirage (Cyclone)","shooting-gyro-mirage-cyclone","3 Observationally represented","D","stanford","gyro-spyro|shooting","","name-only","","",""
"Shooting ss Clipper","shooting-ss-clipper","3 Observationally represented","D","stanford","shooting","","name-only","","",""
"Shooting ss Illusion","shooting-ss-illusion","3 Observationally represented","D","stanford","shooting","","name-only","","",""
"Shooting ss Legover","shooting-ss-legover","3 Observationally represented","D","stanford","shooting","","name-only","","",""
"Shooting ss Mirage","shooting-ss-mirage","3 Observationally represented","D","stanford","shooting","","name-only","","",""
"Shooting ss Pickup","shooting-ss-pickup","3 Observationally represented","D","stanford","shooting","","name-only","","",""
"Slapping Weaving Butterfly (Quantanamera)","slapping-weaving-butterfly-quantanamera","3 Observationally represented","D","stanford","weaving","","name-only","","",""
"Stepping DDD (Blurrier)","stepping-ddd-blurrier","3 Observationally represented","D","stanford","stepping","","name-only","","",""
"Stepping Weaving Butterfly","stepping-weaving-butterfly","3 Observationally represented","D","stanford","stepping|weaving","","name-only","","",""
"Stepping Weaving Mirage","stepping-weaving-mirage","3 Observationally represented","D","stanford","stepping|weaving","","name-only","","",""
"Symposium Furious Legover","symposium-furious-legover","3 Observationally represented","D","stanford","symposium|blurry-furious","","name-only","","",""
"Tapping Weaving Mirage","tapping-weaving-mirage","3 Observationally represented","D","stanford","weaving","","name-only","","",""
"Weaving Drifter","weaving-drifter","3 Observationally represented","D","stanford","weaving","","name-only","","",""
"Weaving Eclipse","weaving-eclipse","3 Observationally represented","D","stanford","eclipse-hop-over|weaving","","name-only","","",""
"Weaving Guay","weaving-guay","3 Observationally represented","D","stanford","weaving","","name-only","","",""
"Weaving Illusion","weaving-illusion","3 Observationally represented","D","stanford","weaving","","name-only","","",""
"Weaving Mirage","weaving-mirage","3 Observationally represented","D","stanford","weaving","","name-only","","",""
"Weaving Reverse Guay","weaving-reverse-guay","3 Observationally represented","D","stanford","weaving","","name-only","","",""
"Weaving Symposium Mirage","weaving-symposium-mirage","3 Observationally represented","D","stanford","symposium|weaving","","name-only","","",""
"Weaving Toe Stall","weaving-toe-stall","3 Observationally represented","D","stanford","weaving","","name-only","","",""
"Weaving XBD Rake","weaving-xbd-rake","3 Observationally represented","D","stanford","weaving|dragon-rake","","name-only","","",""
