trick_name,source,claimed_formula_or_description,claimed_add,reason_not_in_ifpa_dictionary,status,next_step
Bladerunner,footbagmoves,Atomic Eggbeater,5,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Blurrier,footbagmoves,Stepping Double Over Down,5,not enough evidence,missing_insufficient_evidence,leave_or_pill
Blurry Drifter,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Boulderbeater,footbagmoves,Quantum Eggbeater,5,curator review needed,missing_needs_curator,curator_review
Cataclysm,footbagmoves,Neutron Double Legover,5,curator review needed,missing_needs_curator,curator_review
Conniption City,footbagmoves,Quantum Symposium Mirage,5,curator review needed,missing_needs_curator,curator_review
Croxton,footbagmoves,Jolimont ss Mirage,5,curator review needed,missing_needs_curator,curator_review
Cyclone,footbagmoves,Shooting Gyro Mirage,5,curator review needed,missing_needs_curator,curator_review
Dark Avenue,footbagmoves,Fairy Diving Butterfly,5,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Darkwalk,footbagmoves,Pixie Diving Butterfly,5,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Desien,footbagmoves,Sailing Butterfly,5,curator review needed,missing_needs_curator,curator_review
Dolomite,footbagmoves,Symposium Paradon,5,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Dominatrix,footbagmoves,Sailing Mirage,5,curator review needed,missing_needs_curator,curator_review
Double Helix,footbagmoves,Symposium Reverse Whirling Swirl,5,curator review needed,missing_needs_curator,curator_review
Double Spinning Rake,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Down Diver,footbagmoves,Diving Down Double Down,5,curator review needed,missing_needs_curator,curator_review
Ducking PS Illusion,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Ducking PS Mirage,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
E-Walk,footbagmoves,Frantic Butterfly,5,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Fairy Ducking Butterfly,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Fairy Torque (same side),footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Fender,footbagmoves,Fairy Blender,5,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Firewalk,footbagmoves,Flaring Butterfly,5,curator review needed,missing_needs_curator,curator_review
Flurricane,footbagmoves,Gyro Flurry,5,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Forque,footbagmoves,Fairy Torque,5,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Fracture,footbagmoves,Sailing ss Double Legover,5,curator review needed,missing_needs_curator,curator_review
Frankenstein,footbagmoves,Phasing ss Swirl,5,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Frenzy,footbagmoves,Frantic Mirage,5,curator review needed,missing_needs_curator,curator_review
G.Y.B.A.S.,footbagmoves,Stepping Far Dyno,5,curator review needed,missing_needs_curator,curator_review
Gilan,footbagmoves,Pixie Gyro Double Legover,5,curator review needed,missing_needs_curator,curator_review
Godzilla,footbagmoves,Nuclear ss Dyno,5,curator review needed,missing_needs_curator,curator_review
Goliath,footbagmoves,Pixie Ducking Double Legover,5,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Gyro Barfly,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Gyro Blender,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Irish Spring,footbagmoves,Neutron Drifter,5,curator review needed,missing_needs_curator,curator_review
Jacknife,footbagmoves,Stepping Diving Butterfly,5,curator review needed,missing_needs_curator,curator_review
Janiwalker,footbagmoves,Barraging Butterfly,5,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Joan,footbagmoves,Sailing Gyro Pickup,5,curator review needed,missing_needs_curator,curator_review
Juggernaut,footbagmoves,Fairy Symposium Eggbeater,5,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Lawnmoir,footbagmoves,Slicing Butterfly,5,curator review needed,missing_needs_curator,curator_review
Legbreaker,footbagmoves,Flailing Butterfly,5,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Lotus,footbagmoves,Spinning Pdx Drifter,5,curator review needed,missing_needs_curator,curator_review
Macon Bacon,footbagmoves,Leaning Osis,5,curator review needed,missing_needs_curator,curator_review
Majello,footbagmoves,Pixie ss Dyno,5,curator review needed,missing_needs_curator,curator_review
Merlin,footbagmoves,Miraging Symposium Mirage,5,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Motion,footbagmoves,Double Over Downing Osis,5,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Muerto,footbagmoves,Fairy ss Torque,5,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Nobius,footbagmoves,Surging ss Osis,5,curator review needed,missing_needs_curator,curator_review
Nullwalk,footbagmoves,Null Butterfly,5,curator review needed,missing_needs_curator,curator_review
Ocean,footbagmoves,Toe set os Double Over Downing Osis,5,curator review needed,missing_needs_curator,curator_review
Original Barroque,footbagmoves,Double Torque,5,curator review needed,missing_needs_curator,curator_review
Pandemonium,footbagmoves,Pixie Symposium Eggbeater,5,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Paradox Symposium Whirling Rake,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Paradox Whirling Rake,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Pdx Dada Curve,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Pdx Whirling Swirl,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Philibuster,footbagmoves,Fusing Mirage,5,curator review needed,missing_needs_curator,curator_review
Pixie Quantum Butterfly,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Pixie Torque,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Pixie Torque (same side),footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
POD,footbagmoves,Pixie ss Double Over Down,5,formula unclear,missing_insufficient_evidence,curator_review
Porque,footbagmoves,Pixie Torque,5,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Predator,footbagmoves,Atomic Double Legover,5,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Quantanamera,footbagmoves,Quantum Weaving Butterfly,5,curator review needed,missing_needs_curator,curator_review
Railplant,footbagmoves,Railing Legover,5,curator review needed,missing_needs_curator,curator_review
Rasmus,footbagmoves,Atomic Ducking Mirage,5,curator review needed,missing_needs_curator,curator_review
Reactor,footbagmoves,Atomic Whirl,5,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Ricochet,footbagmoves,Toe set os Double Over Down Flapper,5,curator review needed,missing_needs_curator,curator_review
Ripcurl,footbagmoves,Stepping Butterfly Swirl,5,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Ripped Warrior,footbagmoves,Stepping Ducking Far Butterfly,5,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Riptide,footbagmoves,Stepping Far Butterfly Swirl,5,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Royall Assassin,footbagmoves,Pixie Ducking Symposium Mirage,5,curator review needed,missing_needs_curator,curator_review
Sabotage,footbagmoves,Toe Flurry,5,curator review needed,missing_needs_curator,curator_review
Saildown,footbagmoves,Sailing ss Butterfly,5,curator review needed,missing_needs_curator,curator_review
Scorpions Tail,footbagmoves,Spinning Barfly,5,curator review needed,missing_needs_curator,curator_review
Scorpions Toe Nail,footbagmoves,Toe set Spinning Double Over Down,5,curator review needed,missing_needs_curator,curator_review
Shaft,footbagmoves,Clipper set ss Symposium Double Over Down,5,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Singularity,footbagmoves,Symposium Whirling Flapper,5,curator review needed,missing_needs_curator,curator_review
Smile,footbagmoves,Smiling Far Butterfly,5,curator review needed,missing_needs_curator,curator_review
Snowflake,footbagmoves,Paradox Drifter XBD Rake,5,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Spanish Fly,footbagmoves,Ducking Barfly,5,curator review needed,missing_needs_curator,curator_review
Spikehammer,footbagmoves,Blurry Ducking Mirage,5,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Spinning Butterfly Swirl,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Spinning Ducking Butterfly,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Spinning Ducking Osis,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Spinning Ducking Pdx Mirage,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Spinning Pdx DLO,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Spinning Pdx Whirl,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Stampede,footbagmoves,Flailing ss Symposium Mirage,5,curator review needed,missing_needs_curator,curator_review
Stepping Blender (same side),footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Stepping Ducking Butterfly (same side),footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Stepping Ducking Far Double Pickup,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Sunilwalker,footbagmoves,Barraging Butterfly (same side),5,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Supernova,footbagmoves,Spyro Nova,5,curator review needed,missing_needs_curator,curator_review
Swivel,footbagmoves,Symposium Twirl,5,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Symposium Down Double Down,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Tapwater,footbagmoves,Tapping Twirl,5,curator review needed,missing_needs_curator,curator_review
Tobius,footbagmoves,Toe set Gyro Torque,5,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Tornado,footbagmoves,Twinspinning ss Mirage,5,curator review needed,missing_needs_curator,curator_review
Torquescrew,footbagmoves,Miraging Dyno,5,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Trixie,footbagmoves,Triple Pixie,5,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Trochus,footbagmoves,Atomic Flail,5,curator review needed,missing_needs_curator,curator_review
Tutifruti,footbagmoves,Frootie Legover,5,curator review needed,missing_needs_curator,curator_review
Vertigo,footbagmoves,Ducking Paradox Drifter,5,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Wentletrappe,footbagmoves,Fyro Double Legover,5,curator review needed,missing_needs_curator,curator_review
Whirlwalk,footbagmoves,Blazing Paradox Whirl,5,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Whisk,footbagmoves,Paradox Symposium Eggbeater,5,curator review needed,missing_needs_curator,curator_review
Yoda,footbagmoves,Pixie Quantum Butterfly,5,curator review needed,missing_needs_curator,curator_review
Zulu Whirl,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Alex Zerbe is the greatest,footbagmoves,Spyro Symple Drifter,4,curator review needed,missing_needs_curator,curator_review
Arcwalk,footbagmoves,Arctic Butterfly,4,curator review needed,missing_needs_curator,curator_review
Assassin,footbagmoves,Pixie Ducking Mirage,4,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Atomic Butterfly (same side),footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Atomic Osis,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Atomic ss Osis,footbagmoves,Tapping Osis,4,curator review needed,missing_needs_curator,curator_review
Blaze,footbagmoves,Blazing Mirage,4,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
84,footbagmoves,Wiggle Butterfly,5,curator review needed,missing_needs_curator,curator_review
Aeon Flux,footbagmoves,Nuclear Osis,5,curator review needed,missing_needs_curator,curator_review
Amadeus,footbagmoves,Gyro Dada Curve,5,curator review needed,missing_needs_curator,curator_review
Arachnophobia,footbagmoves,Stepping Diving Double Legover,5,curator review needed,missing_needs_curator,curator_review
Atomic DLO,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Atomic Drifter,footbagmoves,,5,formula unclear,missing_insufficient_evidence,curator_review
Avalanche,footbagmoves,Stepping Ducking Pdx Illusion,5,curator review needed,missing_needs_curator,curator_review
Bedwetter,footbagmoves,Blurry Eggbeater,5,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
69,footbagmoves,Nuclear Drifter,6,curator review needed,missing_needs_curator,curator_review
Anoxia,footbagmoves,Spinning Ducking Paradox Symposium Mirage,6,curator review needed,missing_needs_curator,curator_review
Arch Nemesis,footbagmoves,Barraging ss Double Double Down,6,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Atom Bomb,footbagmoves,Flailing Symposium Mirage,6,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Big Apple,footbagmoves,Gyro Symposium Torque,6,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Bill & Ted`s Bogus Journey,footbagmoves,Flailing ss Symposium Double Legover,6,curator review needed,missing_needs_curator,curator_review
Blurrage,footbagmoves,Blurry Barrage,6,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Colossus,footbagmoves,Spyro Diving Symposium Whirl,6,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Compound Fracture,footbagmoves,Railing ss Double Legover,6,curator review needed,missing_needs_curator,curator_review
Cristal,footbagmoves,Quantum Ducking Whirl,6,curator review needed,missing_needs_curator,curator_review
Alpine Big Apple,footbagmoves,Gyro Ducking Symposium Torque,7,curator review needed,missing_needs_curator,curator_review
Apocalypse,footbagmoves,Pixie Miraging Symposium Miraging Legover,7,curator review needed,missing_needs_curator,curator_review
Atomotion,footbagmoves,Atomic Motion,7,curator review needed,missing_needs_curator,curator_review
Big Papa Smurf,footbagmoves,Surfing ss Blender,7,curator review needed,missing_needs_curator,curator_review
Bill & Ted`s Excellent Adventure,footbagmoves,Flailing ss Symposium Eggbeater,7,curator review needed,missing_needs_curator,curator_review
Blue Widow,footbagmoves,Pixie Spinning Paradox Symposium Whirl,7,curator review needed,missing_needs_curator,curator_review
Blurry Chainsaw Massacre,footbagmoves,Blurry Illusioning Paradox Symposium Eggbeater,7,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Chainsaw Massacre,footbagmoves,Bubba Paradox Symposium Eggbeater,7,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Clown Face,footbagmoves,Furious Eggbeater,7,curator review needed,missing_needs_curator,curator_review
Cold Fusion,footbagmoves,Nuclear Double Over Down,7,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Dorshanatrix,footbagmoves,Railing Symposium Mirage,7,curator review needed,missing_needs_curator,curator_review
Floatation,footbagmoves,Floating Butterfly,7,curator review needed,missing_needs_curator,curator_review
Flying Fish,footbagmoves,Railing Ducking Mirage,7,curator review needed,missing_needs_curator,curator_review
Gangsta Party,footbagmoves,Spinning Ducking Paradox Blender,7,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Genesis,footbagmoves,Furious Whirl,7,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Genuphobia,footbagmoves,Fairy Spyro Symposium Torque,7,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Icarus,footbagmoves,Atomic Ducking Torque,7,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Kyttyrä,footbagmoves,Far Whirling Bent Symposium Swirling Osis,7,curator review needed,missing_needs_curator,curator_review
Liquifier,footbagmoves,Splicing ss Blender,7,curator review needed,missing_needs_curator,curator_review
Margaritaville,footbagmoves,Surging Paradox Blender,7,curator review needed,missing_needs_curator,curator_review
Moirius,footbagmoves,Spyro Symposium Torquescrew,7,curator review needed,missing_needs_curator,curator_review
Nebula,footbagmoves,Furious Double Legover,7,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Nemesis Swirl,footbagmoves,Barraging Barfly Swirl,7,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Odula,footbagmoves,Blurry Zulu Blender,7,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Oh Wheely,footbagmoves,Nuclear Nova,7,curator review needed,missing_needs_curator,curator_review
Overlord,footbagmoves,Pixie Spinning Paradox Blender,7,curator review needed,missing_needs_curator,curator_review
Rage,footbagmoves,Furious Symposium Mirage,7,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Rail Warrior,footbagmoves,Railing Ducking Butterfly,7,curator review needed,missing_needs_curator,curator_review
Redwetter,footbagmoves,Shooting Eggbeater,7,curator review needed,missing_needs_curator,curator_review
Sasquatch,footbagmoves,Blurry Symposium Whirling XBD Rake,7,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Stepping Ducking PS Whirl,footbagmoves,,7,formula unclear,missing_insufficient_evidence,curator_review
Super Ego,footbagmoves,Atomic Ducking Blender,7,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Superdeeduperfly,footbagmoves,Spinning Ducking Symposium Double Over Down,7,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Swirlwind,footbagmoves,Spinning Paradox Symposium Whirling Swirl,7,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Syberian Express,footbagmoves,Stepping Ducking Far Motion,7,curator review needed,missing_needs_curator,curator_review
Warp,footbagmoves,Warping Mirage,7,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Your Mom,footbagmoves,Atomic os Symposium Double Over Down,7,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Surging Ducking Paradox Torque,footbagmoves,,8,formula unclear,missing_insufficient_evidence,curator_review
Your Sister,footbagmoves,Flailing ss Symposium Double Over Down,8,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Big Apple Sauce,footbagmoves,Spinning Paradox Miraging Symposium Torque,9,curator review needed,missing_needs_curator,curator_review
Carousel,footbagmoves,Surging Ducking Paradox Symposium Whirling Rake,9,curator review needed,missing_needs_curator,curator_review
Alpine Blurry Whirl,footbagmoves,Stepping Whirl (op) (ducking),6,curator review needed,missing_needs_curator,curator_review
Alpine Magellan,footbagmoves,Pixie Legover (ss) (diving),4,curator review needed,missing_needs_curator,curator_review
Alpine PLO,footbagmoves,Pixie Legover (op) (ducking),4,curator review needed,missing_needs_curator,curator_review
Alpine Paste,footbagmoves,Pixie Pickup (op) (ducking),3,curator review needed,missing_needs_curator,curator_review
Alpine Paste,footbagmoves,Pixie Pickup (op) (ducking),4,curator review needed,missing_needs_curator,curator_review
Alpine Pigbeater,footbagmoves,Pixie Eggbeager (ducking) (op),5,curator review needed,missing_needs_curator,curator_review
Alpine Smog,footbagmoves,Pixie DLO (op) (ducking),5,curator review needed,missing_needs_curator,curator_review
Alpine Smudge,footbagmoves,Pixie Illusion (ducking) (op),4,curator review needed,missing_needs_curator,curator_review
Assassin,footbagmoves,Pixie Mirage (op) (ducking),4,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Assassin (ss),footbagmoves,Pixie Mirage (ss) (diving),8,curator review needed,missing_needs_curator,curator_review
Atomic Pickup,footbagmoves,Atomic Pickup (op),5,curator review needed,missing_needs_curator,curator_review
BS Magellan,footbagmoves,Pixie Legover (ss) (symp),3,curator review needed,missing_needs_curator,curator_review
BS Paste,footbagmoves,Pixie Pickup (op) (symp),3,curator review needed,missing_needs_curator,curator_review
Bladerunner,footbagmoves,Atomic Eggbeater (op),5,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Blazing Butterfly,footbagmoves,Whirling Butterfly (ss),4,curator review needed,missing_needs_curator,curator_review
Blink,footbagmoves,Swirling Toe (op) (rev),2,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Blurry Drifter,footbagmoves,Stepping Drifter (op),5,curator review needed,missing_needs_curator,curator_review
Butterfly Swirl,footbagmoves,Butterfly Swirl (ss),4,curator review needed,missing_needs_curator,curator_review
DDD,footbagmoves,Double down (ss),4,curator review needed,missing_needs_curator,curator_review
DSO,footbagmoves,Legover (double) (op),3,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
DSO,footbagmoves,Legover (double) (op),3,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Diving Clipper,footbagmoves,Diving Clipper (ss),3,curator review needed,missing_needs_curator,curator_review
Diving Mirage,footbagmoves,Mirage (diving) (ss),3,curator review needed,missing_needs_curator,curator_review
Diving Osis,footbagmoves,Osis (diving) (ss),4,curator review needed,missing_needs_curator,curator_review
Diving Smudge,footbagmoves,Pixie Illusion (diving) (ss),6,curator review needed,missing_needs_curator,curator_review
Double Dyno,footbagmoves,Blender (ss) (rev) (double),5,curator review needed,missing_needs_curator,curator_review
Double Fairy,footbagmoves,Illusion (ss) (double),3,curator review needed,missing_needs_curator,curator_review
Double Orbit,footbagmoves,ATW (out) (double),2,formula unclear,missing_insufficient_evidence,curator_review
Double Spinning Butterfly,footbagmoves,Double Spinning Butterfly (op),5,curator review needed,missing_needs_curator,curator_review
Double Spinning Clipper,footbagmoves,Double Spinning Clipper (op),4,curator review needed,missing_needs_curator,curator_review
Double Spinning Clipper,footbagmoves,Double Spinning Clipper (op),4,curator review needed,missing_needs_curator,curator_review
Double Spinning Osis,footbagmoves,Double Spinning Osis (op),5,curator review needed,missing_needs_curator,curator_review
Double Whip,footbagmoves,Whirl (rev) (ss) (double),4,curator review needed,missing_needs_curator,curator_review
Ducking Pdx Torque,footbagmoves,Torque (ducking) (op),6,curator review needed,missing_needs_curator,curator_review
Enterrage,footbagmoves,Terraging Legover (op),4,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Fairy DLO (ss),footbagmoves,Fairy DLO (ss),4,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Fairy Legover (ss),footbagmoves,Fairy Legover (ss),3,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Fairy Pickup (ss),footbagmoves,Fairy Pickup (ss),3,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Fracture,footbagmoves,Sailing DLO (ss),5,curator review needed,missing_needs_curator,curator_review
Frantic Legover,footbagmoves,Pixie Quantum Legover (op),4,curator review needed,missing_needs_curator,curator_review
Genesis,footbagmoves,Barraging Whirl (op),6,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Grifter,footbagmoves,Grifter (ss),3,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Grifter,footbagmoves,Grifter (ss),3,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Gyro Symp Swirl,footbagmoves,Spinning Swirl (ss) (symp),4,curator review needed,missing_needs_curator,curator_review
Gyro Toe,footbagmoves,Gyro Toe (op),2,curator review needed,missing_needs_curator,curator_review
Gyro Whirling Swirl,footbagmoves,Spinning Whirling Swirl (ss),4,curator review needed,missing_needs_curator,curator_review
Infinity,footbagmoves,Butterfly (op),3,curator review needed,missing_needs_curator,curator_review
Infinity Swirl,footbagmoves,Butterfly Swirl (op),4,curator review needed,missing_needs_curator,curator_review
Inspinning Clipper,footbagmoves,Inspinning Clipper (op),4,curator review needed,missing_needs_curator,curator_review
Inspinning Osis,footbagmoves,Inspinning Osis (op),4,curator review needed,missing_needs_curator,curator_review
Janiwalker,footbagmoves,Barraging Butterfly (op),5,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Janiwalker,footbagmoves,Barraging Butterfly (op),5,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Locomotion,footbagmoves,Stepping Motion (far),6,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Locomotion,footbagmoves,Stepping Motion (far),6,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Merlin,footbagmoves,Miraging Symp Mirage (op),4,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Motion,footbagmoves,Motion (op),5,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Motion,footbagmoves,Motion (op),5,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Motion,footbagmoves,Motion (op),5,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Paste (ss),footbagmoves,Pixie Pickup (ss),3,curator review needed,missing_needs_curator,curator_review
Pixie DSO,footbagmoves,Pixie DSO (op),4,formula unclear,missing_insufficient_evidence,curator_review
Pixie DSO (ss),footbagmoves,Pixie DSO (ss),4,curator review needed,missing_needs_curator,curator_review
Pixie Double Pickup (ss),footbagmoves,Pixie Double Pickup (ss),4,curator review needed,missing_needs_curator,curator_review
Ripped Warrior,footbagmoves,Stepping Butterfly (ducking) (op),5,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Scorpion's Tail,footbagmoves,Spinning Double Down (op),5,not enough evidence,missing_insufficient_evidence,leave_or_pill
Solestice,footbagmoves,Osis Flapper,4,curator review needed,missing_needs_curator,curator_review
Spanishfly,footbagmoves,Ducking Double Down (op),5,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Spinning Ducking Butterfly,footbagmoves,Spinning Butterfly (op) (ducking),5,curator review needed,missing_needs_curator,curator_review
Spinning Ducking Osis,footbagmoves,Spinning Osis (ducking) (op),5,curator review needed,missing_needs_curator,curator_review
Spinning Symp Swirl,footbagmoves,Spinning Swirl (op) (symp),4,curator review needed,missing_needs_curator,curator_review
Stepping Clipper,footbagmoves,Stepping Clipper (ss),3,curator review needed,missing_needs_curator,curator_review
Stepping Ducking Osis,footbagmoves,Stepping Osis (op) (ducking),5,curator review needed,missing_needs_curator,curator_review
Swifter,footbagmoves,Stepping Swirl (op),4,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Swifter,footbagmoves,Stepping Swirl (op),4,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Symp Eggbeater,footbagmoves,Eggbeater (op) (symp),4,curator review needed,missing_needs_curator,curator_review
Symp Eggbeater,footbagmoves,Eggbeater (op) (symp),4,curator review needed,missing_needs_curator,curator_review
Symp Swirl (op),footbagmoves,Swirl (symp) (op),3,curator review needed,missing_needs_curator,curator_review
Symp Whirling Swirl,footbagmoves,Whirling Swirl (ss) (symp),5,curator review needed,missing_needs_curator,curator_review
Tapping Pickup,footbagmoves,Atomic Pickup (ss),3,curator review needed,missing_needs_curator,curator_review
Toe Ducking Legover,footbagmoves,Toe Ducking Legover (op),3,curator review needed,missing_needs_curator,curator_review
Toe Gyro Mirage,footbagmoves,Toe Spinning Mirage (ss),3,curator review needed,missing_needs_curator,curator_review
Toe Spinning Toe,footbagmoves,Toe Spinning Toe (op),2,curator review needed,missing_needs_curator,curator_review
Triple Orbit,footbagmoves,ATW (out) (triple),4,formula unclear,missing_insufficient_evidence,curator_review
Void,footbagmoves,Spinning Drifter (op),5,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Void,footbagmoves,Spinning Drifter (op),5,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Weaving Magellan,footbagmoves,Pixie Legover (ducking) (ss),3,curator review needed,missing_needs_curator,curator_review
Weaving Pigbeater,footbagmoves,Pixie Eggbeater (ducking) (ss),5,curator review needed,missing_needs_curator,curator_review
Whirlygig,footbagmoves,Stepping Whirl (op) (symp),6,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Whirr,footbagmoves,Whirl (ss) (double),4,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Whirr,footbagmoves,Whirl (ss) (double),4,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Zulu Clipper,footbagmoves,Diving Clipper (op),3,curator review needed,missing_needs_curator,curator_review
Zulu Clipper,footbagmoves,Diving Clipper (op),3,curator review needed,missing_needs_curator,curator_review
Anonymous,passback,Spinning far Miraging Symp. Miraging Refraction,3,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Archnemesis,passback,Barraging near Double Down,4,not enough evidence,missing_insufficient_evidence,leave_or_pill
Armaggedon,passback,Miraging Symp. Eggbeater,3,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
