slug,source,external_name,ifpa_add,external_add,delta,operator_tokens,governing_rule,difference_type,severity,recommended_action,slice_q_category,slice_q_action,slice_q_notes,pending_red,curator_action,notes
maverick,fm,Maverick,4,4,0,Pixie|ss|Osis,SS=+0 universal (Red 2026-05-11),agree-fm,low,no action,governing-rule-resolved,no-action,locked by prior Red ruling: 'SS=+0 universal (Red 2026-05-11)',false,,matrix_disposition: canonical_equivalent; Case D from RED_PT12_SS_SEMANTICS.md. Math agrees under SS=+0; confirms H1.
catacomb,fm,Catacomb,4,4,0,Pixie|ss|Drifter,SS=+0 universal (Red 2026-05-11),agree-fm,low,no action,governing-rule-resolved,no-action,locked by prior Red ruling: 'SS=+0 universal (Red 2026-05-11)',false,,matrix_disposition: canonical_equivalent; Newly surfaced. Math agrees under SS=+0.
tap-dance,fm,Tap Dance,4,4,0,Pixie|ss|Original|Tap,SS=+0 universal (Red 2026-05-11),unresolved-tokens,medium,defer; needs operator definition for: original,governing-rule-resolved,no-action,locked by prior Red ruling: 'SS=+0 universal (Red 2026-05-11)',false,,"matrix_disposition: canonical_equivalent; Newly surfaced. 'Original Tap' presumably maps to canonical tap (mirage+tapping, 3 ADD). Math agrees under SS=+0."
casket,fm,Casket,?,4,?,Fairy|ss|Drifter,SS=+0 universal (resolved) + Q4 fairy vocabulary (pending),unresolved-tokens,medium,defer; needs operator definition for: fairy,governing-rule-resolved,no-action,locked by prior Red ruling: 'SS=+0 universal (resolved) + Q4 fairy vocabulary (pending)',false,,matrix_disposition: unresolved_other_reason; SS rule applies; row remains blocked on fairy modifier resolution (Q4). Wave-2 Tier-3 insert deferred.
flaming-homer,fm,Flaming Homer,?,4,?,Fairy|ss|Eggbeater,SS=+0 universal (resolved) + Q4 fairy vocabulary (pending),unresolved-tokens,medium,defer; needs operator definition for: fairy,governing-rule-resolved,no-action,locked by prior Red ruling: 'SS=+0 universal (resolved) + Q4 fairy vocabulary (pending)',false,,matrix_disposition: unresolved_other_reason; Newly surfaced. Fairy-blocked.
glaucoma,fm,Glaucoma,?,4,?,Fairy|ss|Double|Legover,SS=+0 universal (resolved) + Q4 fairy vocabulary (pending),unresolved-tokens,medium,defer; needs operator definition for: fairy,governing-rule-resolved,no-action,locked by prior Red ruling: 'SS=+0 universal (resolved) + Q4 fairy vocabulary (pending)',false,,matrix_disposition: unresolved_other_reason; Newly surfaced. Fairy-blocked.
park-avenue,fm,Park Avenue,?,4,?,Fairy|ss|Butterfly,SS=+0 universal (resolved) + Q4 fairy vocabulary (pending),unresolved-tokens,medium,defer; needs operator definition for: fairy,governing-rule-resolved,no-action,locked by prior Red ruling: 'SS=+0 universal (resolved) + Q4 fairy vocabulary (pending)',false,,matrix_disposition: unresolved_other_reason; Newly surfaced. Fairy-blocked.
leaning-jowler,fm,Leaning Jowler,?,4,?,Leaning|ss|Mirage,"SS=+0 universal (resolved) + leaning modifier (FM-vocab, not in IFPA)",unresolved-tokens,medium,defer; needs operator definition for: leaning,governing-rule-resolved,no-action,"locked by prior Red ruling: 'SS=+0 universal (resolved) + leaning modifier (FM-vocab, not in IFPA)'",false,,matrix_disposition: unresolved_other_reason; Newly surfaced. Leaning modifier needs adjudication (similar to fairy/gyro/blazing Q4 class).
phase,fm,Phase,?,4,?,Phasing|ss|Mirage,SS=+0 universal (resolved) + phasing modifier (FM-vocab),unresolved-tokens,medium,defer; needs operator definition for: phasing,governing-rule-resolved,no-action,locked by prior Red ruling: 'SS=+0 universal (resolved) + phasing modifier (FM-vocab)',false,,matrix_disposition: unresolved_other_reason; Newly surfaced. Phasing modifier not in IFPA table.
down-double-down,fm,Down Double Down,?,4,?,Clipper|set|ss|Double|Over|Down,SS=+0 universal (resolved) + clipper-set/double-over-down (unresolved),unresolved-tokens,medium,"defer; needs operator definition for: over,down",governing-rule-resolved,no-action,locked by prior Red ruling: 'SS=+0 universal (resolved) + clipper-set/double-over-down (unresolved)',false,,matrix_disposition: unresolved_other_reason; Newly surfaced. Clipper-set is an unusual modifier convention; double-over-down is the base trick formula but unclear if
arch-nemesis,fm,Arch Nemesis,?,6,?,Barraging|ss|Double|Double|Down,SS=+0 universal (resolved) + double-double-down base (unresolved),unresolved-tokens,medium,defer; needs operator definition for: down,governing-rule-resolved,no-action,locked by prior Red ruling: 'SS=+0 universal (resolved) + double-double-down base (unresolved)',false,,matrix_disposition: unresolved_other_reason; Newly surfaced. barraging IS in the IFPA modifier table (+1/+1 body); prior comment ('not in IFPA table') corrected 2026
bill-ted-s-bogus-journey,fm,Bill & Ted's Bogus Journey,?,6,?,Flailing|ss|Symposium|Double|Legover,SS=+0 universal (resolved) + flailing modifier (FM-vocab; per fm_alias_terminology_extract.csv: 'Flailing = Symposium Atomic'),unresolved-tokens,medium,defer; needs operator definition for: flailing,governing-rule-resolved,no-action,locked by prior Red ruling: 'SS=+0 universal (resolved) + flailing modifier (FM-vocab; per fm_alias_terminology_extract.csv: 'Flailing = Symposium Atomic')',false,,matrix_disposition: unresolved_other_reason; Newly surfaced. Flailing is recursive (Flailing = Symposium Atomic per FM extract); recursive resolution pending.
compound-fracture,fm,Compound Fracture,?,6,?,Railing|ss|Double|Legover,SS=+0 universal (resolved) + railing modifier (FM-vocab),unresolved-tokens,medium,defer; needs operator definition for: railing,governing-rule-resolved,no-action,locked by prior Red ruling: 'SS=+0 universal (resolved) + railing modifier (FM-vocab)',false,,matrix_disposition: unresolved_other_reason; Newly surfaced. Railing modifier not in IFPA table.
nuclear-mirage-same-side,fm,Nuclear Mirage (same side),5,4,-1,,NOT SS — pt9 X-Dex (sumo),fm-vs-ifpa-stated,medium,federation_math_divergence per existing matrix; accept-as-folk-evidence,hidden-dex-discrepancy,curator-decide-post-wave2,X-dex or multi-dex marker detected; preservation rule pending Wave 2,true,,matrix_disposition: unresolved_other_reason; Case C from RED_PT12_SS_SEMANTICS.md. Independent of SS ruling. Maps to IFPA sumo; sumo's IFPA-additive is 5 per pt9 X-D
54-row-same-side-display-suffix-cohort,fm,(54-row '(same side)' display-suffix cohort),per-row,various,per-row,see|legacy_data|out|footbagmoves_inventory_same_side.csv,SS=+0 universal (Red 2026-05-11),unresolved-tokens,medium,"defer; needs operator definition for: see,legacy_data,out,footbagmoves_inventory_same_side.csv",governing-rule-resolved,no-action,locked by prior Red ruling: 'SS=+0 universal (Red 2026-05-11)',false,,matrix_disposition: per-row review at federation entry; most expected to resolve as canonical_equivalent; 54 rows total in legacy_data/out/footbagmoves_inventory_same_side.csv. Per-row classification deferred to federation-rev
genesis,fm,Genesis,5,7,+2,Furious|Whirl,furious modifier (+1 non-rot / +2 rot per IFPA modifier table); whirl rotational; pt6 fury ruling confirms furious rotational bonus,unresolved-tokens,medium,defer; needs operator definition for: furious,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,"matrix_disposition: federation_math_divergence; FM math non-canonical (+2 delta; FM-over direction, opposite of Hurl/Barfry/Godzilla -1 cases). IFPA canonical: furious("
bladerunner,fm,Bladerunner,4,5,+1,Atomic|Eggbeater,atomic modifier (+1 non-rot / +2 rot); pt4 ruling eggbeater = atomic-legover,fm-stated-vs-its-formula,medium,FM-internal: their stated disagrees with their decomposition; IFPA aligns with formula. Accept divergence.,governing-rule-resolved,no-action,locked by prior Red ruling: 'atomic modifier (+1 non-rot / +2 rot); pt4 ruling eggbeater = atomic-legover',false,,"matrix_disposition: federation_math_divergence; FM math non-canonical (+1 delta; FM-over direction). IFPA literal math: atomic(+1 non-rot, since legover is non-rotation"
merlin,fm,Merlin,4,5,+1,Miraging|Symposium|Mirage,miraging + symposium modifiers (both +1 universal per IFPA modifier table),fm-stated-vs-its-formula,medium,FM-internal: their stated disagrees with their decomposition; IFPA aligns with formula. Accept divergence.,unclassified,curator-review,no classifier rule matched; curator decides,false,,matrix_disposition: federation_math_divergence; FM math non-canonical (+1 delta; FM-over direction). IFPA canonical: miraging(+1) + symposium(+1) + mirage(2) = 4. Clean
enterrage,fm,Enterrage,6,4,-2,Terraging|Legover,terraging modifier (+3 universal per IFPA modifier table; pt6 ruling 'terraging=3' confirms the modifier weight),fm-vs-ifpa-stated,medium,federation_math_divergence per existing matrix; accept-as-folk-evidence,unclassified,curator-review,no classifier rule matched; curator decides,false,,"matrix_disposition: federation_math_divergence; FM math non-canonical (-2 delta; FM-under direction, same direction as Hurl/Barfry/Godzilla -1 cases but doubled magnitu"
atom-smasher,passback,Atomsmasher,4,2 (dex_count),,Atomic|far|Mirage,,pb-metric-mismatch-structural-disagree,medium,PassBack dex_count vs IFPA ADD; PB decomposition diverges structurally too,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
around-the-world,passback,ATW,2,1 (dex_count),,toe|ss|leggy|in|dex|ss|toe,,unresolved-tokens,medium,"defer; needs operator definition for: toe,leggy,in,dex,toe",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
barfly,passback,Barfly,4,2 (dex_count),,Clipper|far|Double|Down,,unresolved-tokens,medium,defer; needs operator definition for: down,branch-family-implicit,curator-decide-post-wave2,slug or operator references a branch-family-recognized/candidate row,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
barrage,passback,Barrage,3,2 (dex_count),,double-dex|Mirage,,unresolved-tokens,medium,defer; needs operator definition for: double-dex,hidden-dex-discrepancy,curator-decide-post-wave2,X-dex or multi-dex marker detected; preservation rule pending Wave 2,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
barraging-osis,passback,Barroque,5,2 (dex_count),,double-dex|Torque|Barraging|far|Osis,,unresolved-tokens,medium,"defer; needs operator definition for: double-dex,torque",branch-family-implicit,curator-decide-post-wave2,slug or operator references a branch-family-recognized/candidate row,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
blender,passback,Blender,4,1 (dex_count),,Whirling|Osis,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,branch-family-implicit,curator-decide-post-wave2,slug or operator references a branch-family-recognized/candidate row,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
blur,passback,Blur,4,2 (dex_count),,Stepping|far|Mirage,,pb-metric-mismatch-structural-disagree,medium,PassBack dex_count vs IFPA ADD; PB decomposition diverges structurally too,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
blurriest,passback,Blurriest,5,3 (dex_count),,Stepping|far|Double|Down,,unresolved-tokens,medium,defer; needs operator definition for: down,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
bullwhip,passback,Bullwhip,5,2 (dex_count),,Spinning|near|Double|Down,,unresolved-tokens,medium,defer; needs operator definition for: down,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
butterfly,passback,Butterfly,3,1 (dex_count),,hippy|out|dex|ss|clipper,,unresolved-tokens,medium,"defer; needs operator definition for: hippy,out,dex",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
clipper,passback,Clipper,1,0 (dex_count),,xbd|inside|stall,,unresolved-tokens,medium,"defer; needs operator definition for: xbd,inside,stall",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
dada-curve,passback,Dada Curve,4,2 (dex_count),,Miraging|far|Symp.|Butterfly,,pb-metric-mismatch-structural-disagree,medium,PassBack dex_count vs IFPA ADD; PB decomposition diverges structurally too,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
dimwalk,passback,Dimwalk,4,2 (dex_count),,Pixie|far|Butterfly,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
drifter,passback,Drifter,3,1 (dex_count),,Miraging|far|Clipper,,pb-metric-mismatch-structural-disagree,medium,PassBack dex_count vs IFPA ADD; PB decomposition diverges structurally too,branch-family-implicit,curator-decide-post-wave2,slug or operator references a branch-family-recognized/candidate row,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
dyno,passback,Dyno,4,1 (dex_count),,Whipping|Osis,,unresolved-tokens,medium,defer; needs operator definition for: whipping,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
eggbeater,passback,Eggbeater,3,2 (dex_count),,Illusioning|Legover,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
flail,passback,Flail,3,1 (dex_count),,Symp.|Illusion,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
cross-body-sole-stall,passback,Flapper,3,,,Xbd|Sole|Stall,,unresolved-tokens,medium,"defer; needs operator definition for: xbd,sole,stall",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
flurry,passback,Flurry,4,3 (dex_count),,Barraging|far|Legover,,pb-metric-mismatch-structural-disagree,medium,PassBack dex_count vs IFPA ADD; PB decomposition diverges structurally too,unresolved-pending-red,wave2-blocked,operator_tokens contains Wave 2 dependency: barraging|far|legover,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
fog,passback,Fog,5,3 (dex_count),,Stepping|far|DLO,,unresolved-tokens,medium,defer; needs operator definition for: dlo,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
food-processor,passback,Food Processor,6,2 (dex_count),,Stepping|far|Blender,,pb-metric-mismatch-structural-disagree,medium,PassBack dex_count vs IFPA ADD; PB decomposition diverges structurally too,branch-family-implicit,curator-decide-post-wave2,slug or operator references a branch-family-recognized/candidate row,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
fury,passback,Fury,5,3 (dex_count),,Barraging|far|Mirage,,pb-metric-mismatch-structural-disagree,medium,PassBack dex_count vs IFPA ADD; PB decomposition diverges structurally too,folk-stabilization,no-action-pending-curator,row is in UNRESOLVED_COMPOUNDS allow-list; folk-derived,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
fusion,passback,Fusion,5,3 (dex_count),,Atomic|far|Double|Down,,unresolved-tokens,medium,"defer; needs operator definition for: atomic,down",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
gauntlet,passback,Gauntlet,7,2 (dex_count),,Stepping|Ducking|Torque,,pb-metric-mismatch-structural-disagree,medium,PassBack dex_count vs IFPA ADD; PB decomposition diverges structurally too,branch-family-implicit,curator-decide-post-wave2,slug or operator references a branch-family-recognized/candidate row,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
grave-digger,passback,Gravedigger,5,2 (dex_count),,Stepping|near|Torque,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,branch-family-implicit,curator-decide-post-wave2,slug or operator references a branch-family-recognized/candidate row,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
guay,passback,Guay,2,,,Pickup,,agree-pb-structural,low,no action,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
hatchet,passback,Hatchet,4,1 (dex_count),,Clipper|Diving|near|Whirl,,unresolved-tokens,medium,defer; needs operator definition for: clipper,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
high-plains-drifter,passback,High Plains Drifter,4,2 (dex_count),,double-dex|Drifter|Barraging|far|Clipper,,unresolved-tokens,medium,"defer; needs operator definition for: double-dex,drifter",branch-family-implicit,curator-decide-post-wave2,slug or operator references a branch-family-recognized/candidate row,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
illusion,passback,Illusion,2,1 (dex_count),,leggy|out|dex|op|toe,,unresolved-tokens,medium,"defer; needs operator definition for: leggy,out,dex,toe",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
atomic-butterfly,passback,Legbeater,4,2 (dex_count),,Atomic|far|Butterfly,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
legeater,passback,Legeater,3,2 (dex_count),,Miraging|Pickup,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
legover,passback,Legover,2,1 (dex_count),,leggy|out|dex|ss|toe,,unresolved-tokens,medium,"defer; needs operator definition for: leggy,out,dex,toe",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
magellan,passback,Magellan,3,2 (dex_count),,Pixie|near|Legover,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
spinning-torque,passback,Marius,5,1 (dex_count),,Spinning|Torque,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,branch-family-implicit,curator-decide-post-wave2,slug or operator references a branch-family-recognized/candidate row,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
matador,passback,Matador,5,2 (dex_count),,Nuclear|far|Butterfly,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
merkon,passback,Merkon,3,1 (dex_count),,Spinning|Legover,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
mind-bender,passback,Mind Bender,6,1 (dex_count),,Clipper|Ducking|far|Blender,,unresolved-tokens,medium,defer; needs operator definition for: clipper,branch-family-implicit,curator-decide-post-wave2,slug or operator references a branch-family-recognized/candidate row,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
mirage,passback,Mirage,2,1 (dex_count),,hippy|in|dex|op|toe,,unresolved-tokens,medium,"defer; needs operator definition for: hippy,in,dex,toe",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
mobius,passback,Mobius,5,1 (dex_count),,Gyro|Torque,,unresolved-tokens,medium,defer; needs operator definition for: gyro,branch-family-implicit,curator-decide-post-wave2,slug or operator references a branch-family-recognized/candidate row,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
montage,passback,Montage,7,1 (dex_count),,Spinning|Ducking|far|Symp.|Whirl,,pb-metric-mismatch-structural-disagree,medium,PassBack dex_count vs IFPA ADD; PB decomposition diverges structurally too,folk-stabilization,no-action-pending-curator,row is in UNRESOLVED_COMPOUNDS allow-list; folk-derived,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
mullet,passback,Mullet,6,1 (dex_count),,Clipper|Ducking|far|Symp.|Whirl|Symp.|Tomahwak,,unresolved-tokens,medium,"defer; needs operator definition for: clipper,tomahwak",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
nemesis,passback,Nemesis,6,4 (dex_count),,Barraging|far|Double|Down,,unresolved-tokens,medium,defer; needs operator definition for: down,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
osis,passback,Osis,3,0 (dex_count),,Gyro|Clipper,,unresolved-tokens,medium,defer; needs operator definition for: gyro,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
paradon,passback,Paradon,4,2 (dex_count),,Toe|far|Double|Down,,unresolved-tokens,medium,"defer; needs operator definition for: toe,down",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
parkwalk,passback,Parkwalk,4,2 (dex_count),,Pixie|near|Butterfly,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
paste,passback,Paste,3,2 (dex_count),,Pixie|far|Pickup,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
phoenix,passback,Phoenix,5,2 (dex_count),,Pixie|Ducking|Butterfly,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
pickup,passback,Pickup,2,1 (dex_count),,leggy|in|dex|ss|toe,,unresolved-tokens,medium,"defer; needs operator definition for: leggy,in,dex,toe",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
pigbeater,passback,Pigbeater,4,3 (dex_count),,Pixie|far|Eggbeater,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
plasma,passback,Plasma,5,3 (dex_count),,Quantum|far|Double|Down,,unresolved-tokens,medium,defer; needs operator definition for: down,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
paradox-symposium-whirl,passback,PS Whirl,5,,,Pdx|Symp|Whirl|Clipper|far|Symp|Whirl,,unresolved-tokens,medium,"defer; needs operator definition for: pdx,clipper",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
reaper,passback,Reaper,3,2 (dex_count),,Clipper|far|DSO,,unresolved-tokens,medium,defer; needs operator definition for: dso,folk-stabilization,no-action-pending-curator,row is in UNRESOLVED_COMPOUNDS allow-list; folk-derived,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
refraction,passback,Refraction,3,1 (dex_count),,Butterfy|near|Osis,,unresolved-tokens,medium,defer; needs operator definition for: butterfy,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
rev-up,passback,Revup,3,2 (dex_count),,Twisting|near|Pickup,,unresolved-tokens,medium,defer; needs operator definition for: twisting,folk-stabilization,no-action-pending-curator,row is in UNRESOLVED_COMPOUNDS allow-list; folk-derived,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
ripstein,passback,Ripstein,4,2 (dex_count),,double-dex|Swirl|Swirling|near|Swirl,,unresolved-tokens,medium,"defer; needs operator definition for: double-dex,swirling",hidden-dex-discrepancy,curator-decide-post-wave2,X-dex or multi-dex marker detected; preservation rule pending Wave 2,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
ripwalk,passback,Ripwalk,4,2 (dex_count),,Stepping|far|Butterfly,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
royale,passback,Royale,4,1 (dex_count),,Clipper|far|Grifter,,unresolved-tokens,medium,defer; needs operator definition for: grifter,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
smear,passback,Smear,3,2 (dex_count),,Pixie|Mirage,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
smog,passback,Smog,4,3 (dex_count),,Pixie|far|DLO,,unresolved-tokens,medium,defer; needs operator definition for: dlo,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
smoke,passback,Smoke,4,2 (dex_count),,Pixie|far|Drifter,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,branch-family-implicit,curator-decide-post-wave2,slug or operator references a branch-family-recognized/candidate row,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
smudge,passback,Smudge,3,2 (dex_count),,Pixie|Illusion,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
spender,passback,Spender,6,1 (dex_count),,Spinning|far|Blender,,pb-metric-mismatch-structural-disagree,medium,PassBack dex_count vs IFPA ADD; PB decomposition diverges structurally too,branch-family-implicit,curator-decide-post-wave2,slug or operator references a branch-family-recognized/candidate row,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
sumo,passback,Sumo,5,2 (dex_count),,Nuclear|far|Mirage,,pb-metric-mismatch-structural-disagree,medium,PassBack dex_count vs IFPA ADD; PB decomposition diverges structurally too,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
