external_name,passback_formula,passback_add,ifpa_slug,ifpa_name,ifpa_formula,alignment_category,pending_red,notes
Wrap,"Inside Stall moved to Clipper Stall, or reverse direction",,,,,passback_only_ifpa_missing,false,uses external vocabulary IFPA does not recognize
Your Mom,"Atomic far Symp. Double Down, BS Fusion",3,,,,passback_only_ifpa_missing,false,uses external vocabulary IFPA does not recognize
Your Sister,Full Symp Kiwi,,,,,passback_only_ifpa_missing,false,uses external vocabulary IFPA does not recognize
>,,,,,,passback_only_ifpa_missing,false,external lacks structural decomposition
Atomic DSO,,,,,,passback_only_ifpa_missing,false,external lacks structural decomposition
ATW,,,around-the-world,Around the World,,agree_formula_name_differs,false,
Bladerunner,Atomic Eggbeater,,,,,passback_only_ifpa_missing,false,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Clipper,,,clipper,Clipper Kick,,agree_name_and_formula,false,
Contact,,,,,,passback_only_ifpa_missing,false,external lacks structural decomposition
"Dex, Dexterity",,,,,,passback_only_ifpa_missing,false,external lacks structural decomposition
DLO,,,double-leg-over,double leg over,miraging legover,agree_formula_name_differs,false,
Double ATW,,,double-around-the-world,double around the world,,agree_formula_name_differs,false,
Double Orbit,,,,,,passback_only_ifpa_missing,false,external lacks structural decomposition
Double Pickup,,,,,,passback_only_ifpa_missing,false,external lacks structural decomposition
DSO,Double Switchover,,,,,passback_only_ifpa_missing,false,uses external vocabulary IFPA does not recognize
Eggbeater,Illusioning Legover,,eggbeater,eggbeater,atomic legover,agree_name_formula_differs,false,
Fairy Eggbeater,,,,,,passback_only_ifpa_missing,false,external lacks structural decomposition
Fairy Legover,,,,,,passback_only_ifpa_missing,false,external lacks structural decomposition
Fairy ss Legover,,,,,,passback_only_ifpa_missing,false,external lacks structural decomposition
Flip side,flip,,,,,passback_only_ifpa_missing,false,uses external vocabulary IFPA does not recognize
Flurry,Barraging Legover,,flurry,flurry,barraging legover,agree_name_and_formula,false,
"Gyro, Spinning, Spinning Gyro, Double Spinning",,,,,,passback_only_ifpa_missing,false,external lacks structural decomposition
Illusion,,,illusion,illusion,,agree_name_and_formula,false,
In(-Out) Dex,,,,,,passback_only_ifpa_missing,false,external lacks structural decomposition
Legover,,,legover,legover,,agree_name_and_formula,false,
Magellan,Pixie ss Legover,,magellan,magellan,pixie legover,agree_name_and_formula,false,
Mirage,,,mirage,mirage,,agree_name_and_formula,false,
Nagellam,,,,,,passback_only_ifpa_missing,false,external lacks structural decomposition
Orbit,,,orbit,Orbit,,agree_name_and_formula,false,
Out(-In) Dex,,,,,,passback_only_ifpa_missing,false,external lacks structural decomposition
Paradon Swirl,,,,,,passback_only_ifpa_missing,false,external lacks structural decomposition
Pickup,,,pickup,pickup,,agree_name_and_formula,false,
Pigbeater,Pixie op Eggbeater,,pigbeater,pigbeater,pixie eggbeater,agree_name_and_formula,false,
Pixie DSO,,,,,,passback_only_ifpa_missing,false,external lacks structural decomposition
Pixie op Toe,,,,,,passback_only_ifpa_missing,false,external lacks structural decomposition
Pixie ss Mirage,,,,,,passback_only_ifpa_missing,false,external lacks structural decomposition
Pixie ss Pickup,,,,,,passback_only_ifpa_missing,false,external lacks structural decomposition
PLO,Pixie Legover,,magellan,magellan,pixie legover,agree_formula_name_differs,false,
Smear,Pixie op Mirage,,smear,smear,pixie mirage,agree_name_and_formula,false,
Smear>Fairy ss [Legover/Pickup],,,,,,passback_only_ifpa_missing,false,external lacks structural decomposition
Smog,Pixie op DLO,,smog,smog,pixie double legover,agree_name_formula_differs,false,
Strong side,strong,,,,,passback_only_ifpa_missing,false,uses external vocabulary IFPA does not recognize
Toe ss Symp Swirl,,,,,,passback_only_ifpa_missing,false,external lacks structural decomposition
Triple ATW,,,,,,passback_only_ifpa_missing,false,external lacks structural decomposition
Triple Orbit,,,,,,passback_only_ifpa_missing,false,external lacks structural decomposition
