candidate_slug,external_name,source,alternate_names,technical_name,dex_count,ifpa_match,slice_r_category,confidence,slice_r_action,proposed_base_trick,proposed_modifiers,rationale,pending_red,curator_action,notes
swivel,Swivel,passback,Reversial,Symp. Twirl,1,,unsupported-symbolic-compression,pattern-derived,defer,,symp,unknown tokens in reading: twirl — external uses vocabulary IFPA doesn't recognize,true,,
tapdown,Tapdown,passback,,Atomic near Butterfly,2,,canonical-gap,pattern-derived,curator-decide,butterfly,atomic|paradox,clean structural decomposition with base 'butterfly'; curator decides whether to add as canonical row,false,,
tatwtriple-atw,TATW/Triple ATW,passback,,triple-dex ATW,3,,unsupported-symbolic-compression,pattern-derived,defer,around-the-world,,unknown tokens in reading: triple-dex — external uses vocabulary IFPA doesn't recognize,true,,
terrawhirl,Terrawhirl,passback,,"Toe midtime near Whirr, Terraging near Clipper",,,unsupported-symbolic-compression,pattern-derived,defer,clipper,near|near,"unknown tokens in reading: toe,midtime,whirr — external uses vocabulary IFPA doesn't recognize",true,,
tobius,Tobius,passback,,"Toe Mobius, Toe Spinning near Torque",1,,unsupported-symbolic-compression,pattern-derived,defer,torque,spinning|near,"unknown tokens in reading: toe,toe — external uses vocabulary IFPA doesn't recognize",true,,
torch-r-rack,Torch-R-Rack,passback,,"Stepping far Symp. Double Down, BS Blurriest",3,,unsupported-symbolic-compression,pattern-derived,defer,blurriest,stepping|far|symp|double,unknown tokens in reading: bs — external uses vocabulary IFPA doesn't recognize,true,,
torquescrew,Torquescrew,passback,,"Torque Dyno, (downtime) Miraging Dyno",2,,unsupported-symbolic-compression,pattern-derived,defer,dyno,miraging,unknown tokens in reading: downtime — external uses vocabulary IFPA doesn't recognize,true,,
toxic,Toxic,passback,,(downtime) Miraging far Symp. Whirl,2,,unsupported-symbolic-compression,pattern-derived,defer,whirl,miraging|far|symp,unknown tokens in reading: downtime — external uses vocabulary IFPA doesn't recognize,true,,
triage,Triage,passback,,triple-dex Mirage,3,,unsupported-symbolic-compression,pattern-derived,defer,mirage,,unknown tokens in reading: triple-dex — external uses vocabulary IFPA doesn't recognize,true,,
trifly,Trifly,passback,,Clipper far triple-dex Butterfly,3,,unsupported-symbolic-compression,pattern-derived,defer,butterfly,far,unknown tokens in reading: triple-dex — external uses vocabulary IFPA doesn't recognize,true,,
triple-switch,Triple Switch,passback,Triple Switchover,triple-dex Legover,3,,unsupported-symbolic-compression,pattern-derived,defer,legover,,unknown tokens in reading: triple-dex — external uses vocabulary IFPA doesn't recognize,true,,
trixie,Trixie,passback,,"(midtime) Toe near Triage, triple-dex ""Pixie""",3,,unsupported-symbolic-compression,pattern-derived,defer,,near|pixie,"unknown tokens in reading: midtime,toe,triage,triple-dex — external uses vocabulary IFPA doesn't recognize",true,,
tso,TSO,passback,Triple Switch|Triple Switchover,triple-dex Legover,3,,unsupported-symbolic-compression,pattern-derived,defer,legover,,unknown tokens in reading: triple-dex — external uses vocabulary IFPA doesn't recognize,true,,
twirl,Twirl,passback,,(downtime) Twisting near Osis,1,,unsupported-symbolic-compression,pattern-derived,defer,osis,twisting|near,unknown tokens in reading: downtime — external uses vocabulary IFPA doesn't recognize,true,,
twist,Twist,passback,,Rev. Swirl,1,,canonical-gap,pattern-derived,curator-decide,swirl,rev,clean structural decomposition with base 'swirl'; curator decides whether to add as canonical row,false,,
vertigo,Vertigo,passback,,Clipper Ducking far Drifter,1,,hidden-branch-family,pattern-derived,curator-decide-post-wave2,drifter,ducking|paradox,candidate descends from branch anchor 'drifter'; reveals additional family member not yet in IFPA,true,,
void,Void,passback,,Spinning far Drifter,1,,hidden-branch-family,pattern-derived,curator-decide-post-wave2,drifter,spinning|paradox,candidate descends from branch anchor 'drifter'; reveals additional family member not yet in IFPA,true,,
voodoo,Voodoo,passback,,"Clipper far (downtime) Miraging Symp. Mirage, Pdx. Merlin",2,,unsupported-symbolic-compression,pattern-derived,defer,mirage,far|miraging|symp|pdx,"unknown tokens in reading: downtime,merlin — external uses vocabulary IFPA doesn't recognize",true,,
warp,Warp,passback,,"Warping Mirage, (uptime) Symp. Illusioning Illusioning Mirage, (uptime) Symp. Eggbeating Mirage",3,,unsupported-symbolic-compression,pattern-derived,defer,mirage,symp|illusioning|illusioning|symp,"unknown tokens in reading: warping,uptime,uptime,eggbeating — external uses vocabulary IFPA doesn't recognize",true,,
wauxspin,Wauxspin,passback,,Butterfly Gyro Toe,,,unsupported-symbolic-compression,pattern-derived,defer,butterfly,gyro,unknown tokens in reading: toe — external uses vocabulary IFPA doesn't recognize,true,,
whale-tail,Whale Tail,passback,,Gryo DLO,2,,unsupported-symbolic-compression,pattern-derived,defer,double-leg-over,,unknown tokens in reading: gryo — external uses vocabulary IFPA doesn't recognize,true,,
what,What!?,passback,,"Butterfly Symp. Twisting near Toe, Butterfly Symp. Blink",2,,unsupported-symbolic-compression,pattern-derived,defer,butterfly,symp|twisting|near|symp,"unknown tokens in reading: toe,blink — external uses vocabulary IFPA doesn't recognize",true,,
whirlwalk,Whirlwalk,passback,,Whirling far Whirl,2,,canonical-gap,pattern-derived,curator-decide,whirl,whirling|paradox,clean structural decomposition with base 'whirl'; curator decides whether to add as canonical row,false,,
whirlygig,Whirlygig,passback,,Stepping far Symp. Whirl,2,,canonical-gap,pattern-derived,curator-decide,whirl,stepping|paradox|symposium,clean structural decomposition with base 'whirl'; curator decides whether to add as canonical row,false,,
whirr,Whirr,passback,,double-dex Whirl,2,,unsupported-symbolic-compression,pattern-derived,defer,whirl,,unknown tokens in reading: double-dex — external uses vocabulary IFPA doesn't recognize,true,,
wrap,Wrap,passback,,"Inside Stall moved to Clipper Stall, or reverse direction",,,unsupported-symbolic-compression,pattern-derived,defer,clipper,reverse,"unknown tokens in reading: inside,moved,to,or,direction — external uses vocabulary IFPA doesn't recognize",true,,
your-mom,Your Mom,passback,,"Atomic far Symp. Double Down, BS Fusion",3,,unsupported-symbolic-compression,pattern-derived,defer,fusion,atomic|far|symp|double,unknown tokens in reading: bs — external uses vocabulary IFPA doesn't recognize,true,,
your-sister,Your Sister,passback,,Full Symp Kiwi,,,unsupported-symbolic-compression,pattern-derived,defer,,symp,"unknown tokens in reading: full,kiwi — external uses vocabulary IFPA doesn't recognize",true,,
,>,passback,futbol:-,,,,unresolved-decomposition,speculative,defer,,,no passback_technical_name supplied; structure unclear,false,,
atomic-dso,Atomic DSO,passback,futbol:AHMLATW (Alternative Homie Mitch Lemmens ATW),,,,unresolved-decomposition,speculative,defer,,,no passback_technical_name supplied; structure unclear,false,,
bladerunner,Bladerunner,passback,futbol:AEATW (Alternative Eldo Around The World),Atomic Eggbeater,,,canonical-gap,pattern-derived,curator-decide,eggbeater,atomic,clean structural decomposition with base 'eggbeater'; curator decides whether to add as canonical row,false,,
contact,Contact,passback,futbol:Touch,,,,unresolved-decomposition,speculative,defer,,,no passback_technical_name supplied; structure unclear,false,,
dex-dexterity,"Dex, Dexterity",passback,"futbol:Rev, Revolution",,,,unresolved-decomposition,speculative,defer,,,no passback_technical_name supplied; structure unclear,false,,
double-orbit,Double Orbit,passback,futbol:Inside Lemmens ATW,,,,unresolved-decomposition,speculative,defer,,,no passback_technical_name supplied; structure unclear,false,,
double-pickup,Double Pickup,passback,futbol:ALATW (Out),,,,unresolved-decomposition,speculative,defer,,,no passback_technical_name supplied; structure unclear,false,,
dso,DSO,passback,futbol:ALATW (Alternative Lemmens ATW),Double Switchover,,,unsupported-symbolic-compression,pattern-derived,defer,,double,unknown tokens in reading: switchover — external uses vocabulary IFPA doesn't recognize,true,,
fairy-eggbeater,Fairy Eggbeater,passback,futbol:EATW (Eldo ATW),,,,unresolved-decomposition,speculative,defer,,,no passback_technical_name supplied; structure unclear,false,,
fairy-legover,Fairy Legover,passback,Toe ss Eggbeater|futbol:Homie Mitch ATW,,,,unresolved-decomposition,speculative,defer,,,no passback_technical_name supplied; structure unclear,false,,
fairy-ss-legover,Fairy ss Legover,passback,futbol:Magellan (out),,,,unresolved-decomposition,speculative,defer,,,no passback_technical_name supplied; structure unclear,false,,
flip-side,Flip side,passback,futbol:Weak foot (wf),flip,,,unsupported-symbolic-compression,pattern-derived,defer,,,unknown tokens in reading: flip — external uses vocabulary IFPA doesn't recognize,true,,
gyro-spinning-spinning-gyro-double-spinning,"Gyro, Spinning, Spinning Gyro, Double Spinning",passback,"futbol:180, 360, 540, 720",,,,unresolved-decomposition,speculative,defer,,,no passback_technical_name supplied; structure unclear,false,,
in-out-dex,In(-Out) Dex,passback,futbol:Out Rev,,,,unresolved-decomposition,speculative,defer,,,no passback_technical_name supplied; structure unclear,false,,
nagellam,Nagellam,passback,futbol:Reverse Magellan,,,,unresolved-decomposition,speculative,defer,,,no passback_technical_name supplied; structure unclear,false,,
out-in-dex,Out(-In) Dex,passback,futbol:In Rev,,,,unresolved-decomposition,speculative,defer,,,no passback_technical_name supplied; structure unclear,false,,
paradon-swirl,Paradon Swirl,passback,futbol:ALFATW (Alternative Lemmens Filip ATW),,,,unresolved-decomposition,speculative,defer,,,no passback_technical_name supplied; structure unclear,false,,
pixie-dso,Pixie DSO,passback,futbol:HTLATW (Homie Touzani Lemmens ATW),,,,unresolved-decomposition,speculative,defer,,,no passback_technical_name supplied; structure unclear,false,,
pixie-op-toe,Pixie op Toe,passback,Toe ss Mirage|futbol:Half ATW,,,,unresolved-decomposition,speculative,defer,,,no passback_technical_name supplied; structure unclear,false,,
pixie-ss-mirage,Pixie ss Mirage,passback,futbol:Lebioda ATW,,,,unresolved-decomposition,speculative,defer,,,no passback_technical_name supplied; structure unclear,false,,
pixie-ss-pickup,Pixie ss Pickup,passback,futbol:Magellan (in),,,,unresolved-decomposition,speculative,defer,,,no passback_technical_name supplied; structure unclear,false,,
plo,PLO,passback,Toe ss DLO|futbol:Homie Touzani ATW,Pixie Legover,,,canonical-gap,pattern-derived,curator-decide,legover,pixie,clean structural decomposition with base 'legover'; curator decides whether to add as canonical row,false,,
smearfairy-ss-legoverpickup,Smear>Fairy ss [Legover/Pickup],passback,futbol:Beck Magellan [(in)/(out)],,,,unresolved-decomposition,speculative,defer,,,no passback_technical_name supplied; structure unclear,false,,
strong-side,Strong side,passback,futbol:Strong foot (sf),strong,,,unsupported-symbolic-compression,pattern-derived,defer,,,unknown tokens in reading: strong — external uses vocabulary IFPA doesn't recognize,true,,
toe-ss-symp-swirl,Toe ss Symp Swirl,passback,futbol:Dore ATW,,,,unresolved-decomposition,speculative,defer,,,no passback_technical_name supplied; structure unclear,false,,
triple-atw,Triple ATW,passback,futbol:Palle ATW (out),,,,unresolved-decomposition,speculative,defer,,,no passback_technical_name supplied; structure unclear,false,,
triple-orbit,Triple Orbit,passback,futbol:Palle ATW (in),,,,unresolved-decomposition,speculative,defer,,,no passback_technical_name supplied; structure unclear,false,,
matador,Matador,fm-wave2,Matador,Nuclear Butterfly,5,matador,duplicate-synonym,red-locked,no-action,butterfly,nuclear,Wave-2 Tier-1 candidate already in IFPA DB as 'matador',false,,
phoenix,Phoenix,fm-wave2,Phoenix,Pixie Ducking Butterfly,5,phoenix,duplicate-synonym,red-locked,no-action,butterfly,pixie|ducking,Wave-2 Tier-1 candidate already in IFPA DB as 'phoenix',false,,
mind-bender,Mind Bender,fm-wave2,Mind Bender,Ducking Paradox Blender,6,mind-bender,duplicate-synonym,red-locked,no-action,blender,ducking|paradox,Wave-2 Tier-1 candidate already in IFPA DB as 'mind-bender',false,,
tripwalk,Tripwalk,fm-wave2,Tripwalk,Quantum Butterfly,4,tripwalk,duplicate-synonym,red-locked,no-action,butterfly,quantum,Wave-2 Tier-1 candidate already in IFPA DB as 'tripwalk',false,,
legeater,Legeater,fm-wave2,Legeater,Quantum Pickup,3,legeater,duplicate-synonym,red-locked,no-action,pickup,quantum,Wave-2 Tier-1 candidate already in IFPA DB as 'legeater',false,,
spinal-tap,Spinal Tap,fm-wave2,Spinal Tap,Tapping Torque,5,spinal-tap,duplicate-synonym,red-locked,no-action,torque,tapping,Wave-2 Tier-1 candidate already in IFPA DB as 'spinal-tap',false,,
