name,slug,heading,source,sources,parser,doctrine,ledger,ledger_sub,resolves_to,complete_trick,exec_known,decomp_known,add_derivable,actionable,question,owner,disposition
Diving,diving,"Documented execution, decomposition unresolved",FB,fborg,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,N,N,N,N,N,"set/operator/notation term; home is the operator reference, not the trick backlog",mechanical,NOT-A-TRICK (operator/term)
Dragon set Stepping op Firewalk,dragon-set-stepping-op-firewalk,"Documented execution, decomposition unresolved",FM,footbagmoves,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Drifter Rake,drifter-rake,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Drifter Swirl,drifter-swirl,"Documented execution, decomposition unresolved",FM,footbagmoves,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Fairy Atomic,fairy-atomic,"Documented execution, decomposition unresolved",FB,fborg,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,N,N,N,N,N,"set/operator/notation term; home is the operator reference, not the trick backlog",mechanical,NOT-A-TRICK (operator/term)
Fairy Gyro Janiwalker,fairy-gyro-janiwalker,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the jani-walker structure ruling (also decides Sidewinder),James+Red (rider),DOCTRINE (R3 jani-walker)
Fairy Spinning,fairy-spinning,"Documented execution, decomposition unresolved",FB,fborg,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,N,N,N,N,N,"set/operator/notation term; home is the operator reference, not the trick backlog",mechanical,NOT-A-TRICK (operator/term)
Fairy Spinning near Barraging far Buterfly,fairy-spinning-near-barraging-far-buterfly,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Fairy Tale,fairy-tale,"Documented execution, decomposition unresolved",FM,footbagmoves,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,Y,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Full Symp. Atomsmasher,full-symp-atomsmasher,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Gyro Baroque,gyro-baroque,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Gyro Swivel,gyro-swivel,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Inspinning,inspinning,"Documented execution, decomposition unresolved",FB,fborg,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,N,N,N,N,N,"set/operator/notation term; home is the operator reference, not the trick backlog",mechanical,NOT-A-TRICK (operator/term)
Miraging,miraging,"Documented execution, decomposition unresolved",FB,fborg,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,N,N,N,N,N,"set/operator/notation term; home is the operator reference, not the trick backlog",mechanical,NOT-A-TRICK (operator/term)
Miraging Dragon,miraging-dragon,"Documented execution, decomposition unresolved",FM,footbagmoves,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,N,authors as miraging + dragon catch once the dragon token is fixed,James,FOLLOWS DRAGON BATCH
Miraging Kilo,miraging-kilo,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Miraging Symp.Mirage,miraging-symp-mirage,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Nemesis Osis,nemesis-osis,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Nemesis Swirl,nemesis-swirl,"Documented execution, decomposition unresolved",FM,footbagmoves,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,Y,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Paradon Reverse Swirl,paradon-reverse-swirl,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Paradox Delusion,paradox-delusion,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Paradox Dragster,paradox-dragster,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Paradox Merlin,paradox-merlin,"Documented execution, decomposition unresolved",FM,footbagmoves,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Paradox Swifter,paradox-swifter,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Paradox Toxic,paradox-toxic,"Documented execution, decomposition unresolved",FM,footbagmoves,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Pdx Dada Curve,pdx-dada-curve,"Documented execution, decomposition unresolved",FM,footbagmoves,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,Y,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Pdx. Merlin,pdx-merlin,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Pdx. Toxic,pdx-toxic,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Pixie Blacula,pixie-blacula,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Pixie Ducking Spinning Toe,pixie-ducking-spinning-toe,"Documented execution, decomposition unresolved",FM,footbagmoves,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Pixie Grifter,pixie-grifter,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Pixie Inspinning,pixie-inspinning,"Documented execution, decomposition unresolved",FB,fborg,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,N,N,N,N,N,"set/operator/notation term; home is the operator reference, not the trick backlog",mechanical,NOT-A-TRICK (operator/term)
Pixie Massacre,pixie-massacre,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Pixie Merlin,pixie-merlin,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Pixie Pinching,pixie-pinching,"Documented execution, decomposition unresolved",FB,fborg,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,N,N,N,N,N,"set/operator/notation term; home is the operator reference, not the trick backlog",mechanical,NOT-A-TRICK (operator/term)
Pixie ss Clipper,pixie-ss-clipper,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Pixie ss Da Da Curve,pixie-ss-da-da-curve,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Pixie ss Double Switchover,pixie-ss-double-switchover,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Pixie ss Grifter,pixie-ss-grifter,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Ripwalk Swirl,ripwalk-swirl,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Sailing Gyro Pickup,sailing-gyro-pickup,"Documented execution, decomposition unresolved",FM,footbagmoves,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Sailing ss Butterfly,sailing-ss-butterfly,"Documented execution, decomposition unresolved",FM,footbagmoves,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,Y,Y,Y,Y,distributive ss variant of a live sailing canonical (same class as the promoted nuclear/pogo/shooting ss batches),James,AUTHOR-CANDIDATE (James batch)
Sailing ss Double Legover,sailing-ss-double-legover,"Documented execution, decomposition unresolved",FM,footbagmoves,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,Y,Y,Y,Y,distributive ss variant of a live sailing canonical (same class as the promoted nuclear/pogo/shooting ss batches),James,AUTHOR-CANDIDATE (James batch)
Sailing ss Illusion,sailing-ss-illusion,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,Y,Y,Y,Y,distributive ss variant of a live sailing canonical (same class as the promoted nuclear/pogo/shooting ss batches),James,AUTHOR-CANDIDATE (James batch)
Sailing ss Legover,sailing-ss-legover,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,Y,Y,Y,Y,distributive ss variant of a live sailing canonical (same class as the promoted nuclear/pogo/shooting ss batches),James,AUTHOR-CANDIDATE (James batch)
Sailing ss Mirage,sailing-ss-mirage,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,Y,Y,Y,Y,distributive ss variant of a live sailing canonical (same class as the promoted nuclear/pogo/shooting ss batches),James,AUTHOR-CANDIDATE (James batch)
Sailing ss Pickup,sailing-ss-pickup,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,Y,Y,Y,Y,distributive ss variant of a live sailing canonical (same class as the promoted nuclear/pogo/shooting ss batches),James,AUTHOR-CANDIDATE (James batch)
Sailing Symposium Mirage,sailing-symposium-mirage,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Sidewalk Swirl,sidewalk-swirl,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Spinning Ducking far Symp.Torque,spinning-ducking-far-symp-torque,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Spinning far Motion,spinning-far-motion,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Spinning Flapper,spinning-flapper,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Spinning Motion,spinning-motion,"Documented execution, decomposition unresolved",FM,footbagmoves,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Spinning Swivel,spinning-swivel,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Spyro Diving Symposium Whirl,spyro-diving-symposium-whirl,"Documented execution, decomposition unresolved",FM,footbagmoves,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Spyro Nova,spyro-nova,"Documented execution, decomposition unresolved",FM,footbagmoves,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Spyro Symple Drifter,spyro-symple-drifter,"Documented execution, decomposition unresolved",FM,footbagmoves,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Spyro Symposium Mirage,spyro-symposium-mirage,"Documented execution, decomposition unresolved",FM,footbagmoves,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Stepping Baroque,stepping-baroque,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Stepping Butterfly Reverse Swirl,stepping-butterfly-reverse-swirl,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Stepping DDD (Blurrier),stepping-ddd-blurrier,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,canon:blurrier,Y,Y,Y,Y,N,resolves to canon:blurrier; register alias if missing,mechanical,LIVE-IDENT (suppress)
Stepping Ducking Far Butterfly Swirl,stepping-ducking-far-butterfly-swirl,"Documented execution, decomposition unresolved",FM,footbagmoves,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Stepping Ducking far Grifter,stepping-ducking-far-grifter,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Stepping Ducking Far Motion,stepping-ducking-far-motion,"Documented execution, decomposition unresolved",FM,footbagmoves,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Stepping Ducking far Swivel,stepping-ducking-far-swivel,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Stepping far Clipper,stepping-far-clipper,"Documented execution, decomposition unresolved",FM,footbagmoves,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,Y,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Stepping far DLO,stepping-far-dlo,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Stepping Far Motion,stepping-far-motion,"Documented execution, decomposition unresolved",MULTI,footbagmoves|passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Stepping Grifter,stepping-grifter,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Stepping Massacre,stepping-massacre,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Surging Butterfly Swirl,surging-butterfly-swirl,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Swirling,swirling,"Documented execution, decomposition unresolved",FB,fborg,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,N,N,N,N,N,"set/operator/notation term; home is the operator reference, not the trick backlog",mechanical,NOT-A-TRICK (operator/term)
Swirling Gyro Inside Stall,swirling-gyro-inside-stall,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Symp. Butterfly Swirl,symp-butterfly-swirl,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Symp. DDD,symp-ddd,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Symp. DLO,symp-dlo,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Symp. Marius,symp-marius,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Symp. Swirling Gyro Inside,symp-swirling-gyro-inside,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Symp. Tomahwak,symp-tomahwak,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Symposium Baroque,symposium-baroque,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Symposium Bubba Barfly,symposium-bubba-barfly,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Symposium Bubba Mirage,symposium-bubba-mirage,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Symposium Whirling Flapper,symposium-whirling-flapper,"Documented execution, decomposition unresolved",FM,footbagmoves,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Toe Spinning Toe,toe-spinning-toe,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,Y,Y,twisting is a degenerate structure with no exemplar; footage search exhausted,James+Red (rider),DOCTRINE (R3 twisting exemplar)
Torque Dyno,torque-dyno,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Triple Pixie,triple-pixie,"Documented execution, decomposition unresolved",FM,footbagmoves,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Whirling,whirling,"Documented execution, decomposition unresolved",FB,fborg,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,N,N,N,N,N,"set/operator/notation term; home is the operator reference, not the trick backlog",mechanical,NOT-A-TRICK (operator/term)
Whirling near Whip,whirling-near-whip,"Documented execution, decomposition unresolved",PB,passback,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Whirling Spitfire,whirling-spitfire,"Documented execution, decomposition unresolved",SG,stanford,ambiguous-terminal-mechanic,stable,parser/C,parser:ambiguous-terminal-mechanic,,Y,N,N,N,Y,the path/catch terminal-encoding standard decides how these read,James+Red (Notation paper),DOCTRINE (R2 terminal framing)
Arctic Butterfly,arctic-butterfly,Blocked on an undefined operator,FM,footbagmoves,unknown-modifier-token,stable,authoring/C,undefined-operator:arctic,,Y,N,N,N,Y,define the arctic operator (defining it unlocks every name that uses it),James+Red (Scoring paper),DOCTRINE (R1 operator definition)
Arctic Whirl,arctic-whirl,Blocked on an undefined operator,SG,stanford,unknown-modifier-token,stable,authoring/C,undefined-operator:arctic,,Y,N,N,N,Y,define the arctic operator (defining it unlocks every name that uses it),James+Red (Scoring paper),DOCTRINE (R1 operator definition)
Butterfly Flapper,butterfly-flapper,Blocked on an undefined operator,FM,footbagmoves,unknown-modifier-token,stable,authoring/C,undefined-operator:flapper,,Y,N,N,N,Y,define the flapper operator (defining it unlocks every name that uses it),James+Red (Scoring paper),DOCTRINE (R1 operator definition)
Butterfly Symp. Twisting near Toe,butterfly-symp-twisting-near-toe,Blocked on an undefined operator,PB,passback,unknown-modifier-token,stable,undefined_operator/C,undefined-operator:twisting,,Y,N,N,N,Y,define the twisting operator (defining it unlocks every name that uses it),James+Red (Scoring paper),DOCTRINE (R1 operator definition)
Flailing Butterfly,flailing-butterfly,Blocked on an undefined operator,FM,footbagmoves,unknown-modifier-token,stable,authoring/C,undefined-operator:flailing,,Y,N,N,N,Y,define the flailing operator (defining it unlocks every name that uses it),James+Red (Scoring paper),DOCTRINE (R1 operator definition)
