slug,source_bucket,ADD,family_operator_group,flags,missing_parent_slug,recommended_wave,rationale,next_action
symposium-furious-legover,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
symposium-reverse-swirling-pickup,frontier,4,symposium/paradox,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
symposium-reverse-whirling-swirl,frontier,5,symposium/paradox,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
terrage,unknown-notation,4,terrage,notation_placeholder|operator_now_settled|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; only symbolic operational_notation pending,Write operational notation; movement JOB + ADD already present
atomic_torque,unknown-notation,5,torque,notation_placeholder|operator_now_settled|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; only symbolic operational_notation pending,Write operational notation; movement JOB + ADD already present
sole_survivor,unknown-notation,5,whirl,decomposition_present,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-barfly-swirl-blurriest-swirl,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
blurry-butterfly-swirl-riptide,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
blurry-osis-crispy-torque,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-reverse-whirl,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-whirling-swirl,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
clipper-diving-whirl,frontier,4,whirl/osis/other,positional_variant|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
diving-reverse-swirl,frontier,4,whirl/osis/other,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
furious-butterfly-swirl-tsunami,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
furious-whirl,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
nuclear-dlo-terminator,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-ss-reverse-whirl,frontier,,whirl/osis/other,positional_variant,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-ss-whirl,frontier,,whirl/osis/other,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
nuclear-ss-whirl-hurl,frontier,,whirl/osis/other,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-blender,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-torque,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-whirl,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-whirling-swirl,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
rev-swirl,frontier,3,whirl/osis/other,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
reverse-blender,frontier,4,whirl/osis/other,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
reverse-swirl,frontier,3,whirl/osis/other,positional_variant|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
reverse-swirling-blender,frontier,5,whirl/osis/other,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
reverse-swirling-osis,frontier,4,whirl/osis/other,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
reverse-swirling-paradox-symposium-whirl,frontier,6,whirl/osis/other,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
reverse-swirling-pickup,frontier,3,whirl/osis/other,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
reverse-torque,frontier,4,whirl/osis/other,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
reverse-whirling-rake,frontier,3,whirl/osis/other,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
reverse-whirling-twirl,frontier,5,whirl/osis/other,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
shooting-torque,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
swirling-reverse-swirl,frontier,4,whirl/osis/other,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
toe-symposium-swirl,frontier,4,whirl/osis/other,positional_variant|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
toe-whirling-swirl,frontier,4,whirl/osis/other,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
whirling-paradox-mirage,frontier,4,whirl/osis/other,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
whirling-reverse-whirl,frontier,4,whirl/osis/other,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
surging-mirage,frontier,4,(unclassified),positional_variant|verification_needed|decomposition_present,,wave_2_no_dependency_verification_flag,settled; far+receiver fires X-Dex (+1) — value to verify in decomposition,Author notation; verify far X-Dex +1 on receiver base
atomic-ducking-mirage,frontier,4,atomic,positional_variant|verification_needed|decomposition_present,,wave_2_no_dependency_verification_flag,settled; far+receiver fires X-Dex (+1) — value to verify in decomposition,Author notation; verify far X-Dex +1 on receiver base
atomic-symposium-whirl,frontier,5,atomic,positional_variant|verification_needed|decomposition_present,,wave_2_no_dependency_verification_flag,settled; far+receiver fires X-Dex (+1) — value to verify in decomposition,Author notation; verify far X-Dex +1 on receiver base
atomic-whirl,frontier,4,atomic,positional_variant|verification_needed|decomposition_present,,wave_2_no_dependency_verification_flag,settled; far+receiver fires X-Dex (+1) — value to verify in decomposition,Author notation; verify far X-Dex +1 on receiver base
clipper-ducking-drifter,frontier,4,ducking,positional_variant|verification_needed|decomposition_present,,wave_2_no_dependency_verification_flag,settled; far+receiver fires X-Dex (+1) — value to verify in decomposition,Author notation; verify far X-Dex +1 on receiver base
clipper-ducking-symposium-whirl,frontier,5,ducking,positional_variant|verification_needed|decomposition_present,,wave_2_no_dependency_verification_flag,settled; far+receiver fires X-Dex (+1) — value to verify in decomposition,Author notation; verify far X-Dex +1 on receiver base
clipper-ducking-whirl,frontier,4,ducking,positional_variant|verification_needed|decomposition_present,,wave_2_no_dependency_verification_flag,settled; far+receiver fires X-Dex (+1) — value to verify in decomposition,Author notation; verify far X-Dex +1 on receiver base
pixie-drifter,frontier,4,pixie,positional_variant|verification_needed|decomposition_present,,wave_2_no_dependency_verification_flag,settled; far+receiver fires X-Dex (+1) — value to verify in decomposition,Author notation; verify far X-Dex +1 on receiver base
pogo-far-mirage,frontier,,pogo,positional_variant|verification_needed,,wave_2_no_dependency_verification_flag,settled; far+receiver fires X-Dex (+1) — value to verify in decomposition,Author notation; verify far X-Dex +1 on receiver base
spinning-symposium-whirl,frontier,5,spinning/gyro,positional_variant|verification_needed|decomposition_present,,wave_2_no_dependency_verification_flag,settled; far+receiver fires X-Dex (+1) — value to verify in decomposition,Author notation; verify far X-Dex +1 on receiver base
blurry_torque,unknown-notation,6,torque,notation_placeholder|operator_now_settled|verification_needed|decomposition_present,,wave_2_no_dependency_verification_flag,settled operators; only symbolic operational_notation pending,Write operational notation; movement JOB + ADD already present
blurry_whirl,unknown-notation,5,whirl,notation_placeholder|operator_now_settled|verification_needed|decomposition_present,,wave_2_no_dependency_verification_flag,settled operators; only symbolic operational_notation pending,Write operational notation; movement JOB + ADD already present
clipper-symposium-whirl,frontier,4,whirl/osis/other,positional_variant|verification_needed|decomposition_present,,wave_2_no_dependency_verification_flag,settled; far+receiver fires X-Dex (+1) — value to verify in decomposition,Author notation; verify far X-Dex +1 on receiver base
reverse-whirl,frontier,3,whirl/osis/other,positional_variant|verification_needed|decomposition_present,,wave_2_no_dependency_verification_flag,settled; far+receiver fires X-Dex (+1) — value to verify in decomposition,Author notation; verify far X-Dex +1 on receiver base
surging-whirl,frontier,5,whirl/osis/other,positional_variant|verification_needed|decomposition_present,,wave_2_no_dependency_verification_flag,settled; far+receiver fires X-Dex (+1) — value to verify in decomposition,Author notation; verify far X-Dex +1 on receiver base
nuclear,frontier,,blurry/furious,depends_on_parent,nuclear,wave_3_parent_dependency,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
blurry-stepping-paradox,frontier,,stepping,depends_on_parent,blurry,wave_3_parent_dependency,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
rooting-rooted,frontier,,whirl/osis/other,verification_needed|depends_on_parent,rooted,wave_3_parent_dependency,rooted is a settled set-primitive (0 ADD); stale doctrine flag,"Author notation; rooted = settled set, 0 ADD"
terraging-clipper,frontier,,(unclassified),duplicate_or_alias_candidate,,hold_curator_review,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
toe-flurry,frontier,4,(unclassified),positional_variant|duplicate_or_alias_candidate|decomposition_present,,hold_curator_review,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
atomic-ducking-mirage,frontier,4,atomic,duplicate_or_alias_candidate|decomposition_present,,hold_curator_review,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
atomic-ducking-mirage,frontier,4,atomic,duplicate_or_alias_candidate|decomposition_present,,hold_curator_review,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
atomic-symposium-whirl,frontier,5,atomic,duplicate_or_alias_candidate|decomposition_present,,hold_curator_review,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
atomic-whirl,frontier,4,atomic,duplicate_or_alias_candidate|decomposition_present,,hold_curator_review,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
fairy-reverse-guay,frontier,3,fairy,positional_variant|duplicate_or_alias_candidate|decomposition_present,,hold_curator_review,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
fairy-reverse-swirl,frontier,4,fairy,positional_variant|duplicate_or_alias_candidate|decomposition_present,,hold_curator_review,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
fairy-reverse-whirl,frontier,4,fairy,positional_variant|duplicate_or_alias_candidate|decomposition_present,,hold_curator_review,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
pixie-butterfly,frontier,4,pixie,positional_variant|duplicate_or_alias_candidate|decomposition_present,,hold_curator_review,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
pixie-drifter,frontier,4,pixie,positional_variant|duplicate_or_alias_candidate|decomposition_present,,hold_curator_review,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
pixie-drifter,frontier,4,pixie,positional_variant|duplicate_or_alias_candidate|decomposition_present,,hold_curator_review,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
pixie-illusion,frontier,3,pixie,positional_variant|duplicate_or_alias_candidate|decomposition_present,,hold_curator_review,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
pixie-reverse-guay,frontier,3,pixie,positional_variant|duplicate_or_alias_candidate|decomposition_present,,hold_curator_review,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
pixie-reverse-swirl,frontier,4,pixie,positional_variant|duplicate_or_alias_candidate|decomposition_present,,hold_curator_review,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
pixie-reverse-whirl,frontier,4,pixie,positional_variant|duplicate_or_alias_candidate|decomposition_present,,hold_curator_review,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
