"term","primary_axis","high_value","existing_ifpa_definition","passback_definition","symbolic_definition","operational_usage","canonical_status","educational_value","symbolic_value","overlap_type","recommended_action","notes"
"nickname","notation","false","","Technical names can get quite long, so many common tricks have nicknames, usually created by the inventor of the trick. For example, “Stepping op Butterfly” has the nickname of “Ripwalk.” Not every trick has a nickname, but even if they do, it’s always valid to use the technical name to describe it.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Trick names"
"op","notation","true","","Ducking: head moves towards the bag, bag falls to the opposite side the head moved Weaving: head moves towards the bag, bag falls to the same side the head moved Diving: head moves over the bag and under it back to the original position, bag falls to the same side as the initial head movement Zulu: head moves over the bag and under it back to the original position, bag falls to the opposite side as the initial head movement Spins Spins are performed by rotating the entire body to various degrees: gyro means to spin 180 degrees, while spinning means to spin 360 degrees. The two terms can be com","Opposite-foot indicator in semantic notation.","","cross_referenced_existing","high","medium","educational_plus_symbolic","PROMOTE — PassBack + symbolic; canonical IFPA entry candidate","PB section: Ducks; aliases: opposite, far"
"out","notation","false","","","Outward-arc indicator in semantic notation.","","cross_referenced_existing","absent","medium","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4","aliases: out-in dex"
"PDX","notation","false","Abbreviation: Paradox","Paradox        5","","","canonical_glossary","low","absent","complementary","SYNTHESIZE — both sources contribute; merge complementary aspects",""
"ss","notation","true","Abbreviation: Same Side","Ducking: head moves towards the bag, bag falls to the opposite side the head moved Weaving: head moves towards the bag, bag falls to the same side the head moved Diving: head moves over the bag and under it back to the original position, bag falls to the same side as the initial head movement Zulu: head moves over the bag and under it back to the original position, bag falls to the opposite side as the initial head movement Spins Spins are performed by rotating the entire body to various degrees: gyro means to spin 180 degrees, while spinning means to spin 360 degrees. The two terms can be com","","","canonical_glossary","high","absent","broader_passback","PROMOTE — PassBack adds significant educational depth IFPA lacks","PB section: Ducks; aliases: same-side, same side, near"
"technical name","notation","false","","The technical name of a trick is one that uses the simplest named version of every component and relative side to connect them as necessary. Oftentimes, the side is implied by the previous component and is not needed. For example, the technical name of the trick “Phoenix” is Pixie Ducking Butterfly, with “Ducking op Butterfly” being implied.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Trick names"
"UNS","notation","false","","","","","non_canonical","absent","absent","absent_all","FIELD GAP — needs definition from scratch",""
"xbd","notation","true","","A Clipper is an Inside Stall in a crossbody (xbd) position, meaning that one leg is positioned behind the other. In order to get the flattest possible surface for an Inside Stall or Clipper, you have to bend or crank your ankle in order to flex the inside surface upwards.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Toe & Clipper; aliases: cross-body"
"clipper","stall","true","","","Inside cross-body delay surface; one of the foundational stalls.","","non_canonical","absent","medium","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4","aliases: clipper stall"
"heel","stall","false","","Contact Surfaces The most common contact surfaces are the toe and inside surfaces of the shoe, as well as the less commonly used outside, heel, and sole surfaces. Any non-shoe surface just uses the name for the part of the body, such as knee, calf, or back.","Heel delay surface.","","cross_referenced_existing","medium","medium","educational_plus_symbolic","PROMOTE — PassBack + symbolic; canonical IFPA entry candidate","PB section: Contact Surfaces; aliases: heel stall"
"inside","stall","false","","","Inside-of-foot delay surface.","","non_canonical","absent","medium","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4","aliases: inside stall"
"outside","stall","false","","Contact Surfaces The most common contact surfaces are the toe and inside surfaces of the shoe, as well as the less commonly used outside, heel, and sole surfaces. Any non-shoe surface just uses the name for the part of the body, such as knee, calf, or back.","Outside-of-foot delay surface.","","cross_referenced_existing","medium","medium","educational_plus_symbolic","PROMOTE — PassBack + symbolic; canonical IFPA entry candidate","PB section: Contact Surfaces; aliases: outside stall"
"sole","stall","false","","Contact Surfaces The most common contact surfaces are the toe and inside surfaces of the shoe, as well as the less commonly used outside, heel, and sole surfaces. Any non-shoe surface just uses the name for the part of the body, such as knee, calf, or back.","Sole-of-foot delay surface (non-standard).","","cross_referenced_existing","medium","medium","educational_plus_symbolic","PROMOTE — PassBack + symbolic; canonical IFPA entry candidate","PB section: Contact Surfaces; aliases: sole stall"
"toe","stall","false","","","Toe delay surface (top of foot).","","non_canonical","absent","medium","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4","aliases: toe stall"
"around the world","trick","false","","","","","non_canonical","absent","absent","absent_all","FIELD GAP — needs definition from scratch","aliases: atw"
"barfly","trick","false","","","Barfly: a 4-ADD named compound (infinity family).","","non_canonical","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4",""
"blender","trick","false","","","Blender (canonically whirling osis): a 4-ADD compound.","","non_canonical","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4",""
"butterfly","trick","true","","","Butterfly base family: a 3-ADD intersection of dexterity and compound technique.","","non_canonical","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4",""
"drifter","trick","false","","","Drifter (canonically miraging clipper): a 3-ADD compound.","","non_canonical","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4",""
"illusion","trick","false","","","","","non_canonical","absent","absent","absent_all","FIELD GAP — needs definition from scratch",""
"legover","trick","false","","","Legover base family: a 2-ADD body trick anchoring eggbeater + flurry.","","non_canonical","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4",""
"mirage","trick","false","","","Mirage base family: a 2-ADD foundational rotational trick.","","non_canonical","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4",""
"orbit","trick","false","","","","","non_canonical","absent","absent","absent_all","FIELD GAP — needs definition from scratch",""
"osis","trick","true","","","Osis base family: a 3-ADD compound that anchors torque + blender sub-families.","","non_canonical","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4",""
"pickup","trick","false","","","Pickup base family: a 2-ADD foundational trick (a core entry).","","non_canonical","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4",""
"swirl","trick","true","","","Swirl base family: a 3-ADD rotational trick.","","non_canonical","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4",""
"torque","trick","false","","","Torque base family: a 4-ADD compound; canonically miraging osis.","","non_canonical","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4",""
"whirl","trick","true","","","Whirl base family: a 3-ADD rotational trick used as the foundation for many compounds.","","non_canonical","absent","high","symbolic_only","STAGE — symbolic-only term; add to symbolic-grammar layer of v4",""
