layer,launch,landing,dex,terminal,symbolic_formula,add,status,failure_class,reason
1-dex,clipper,SAME shoulder,OP IN,[DEL],CLIP > OP IN [DEX] > SAME SHOULDER [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,OP shoulder,OP IN,[DEL],CLIP > OP IN [DEX] > OP SHOULDER [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,SAME shoulder,OP OUT,[DEL],CLIP > OP OUT [DEX] > SAME SHOULDER [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,OP shoulder,OP OUT,[DEL],CLIP > OP OUT [DEX] > OP SHOULDER [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,head,SAME IN,[DEL],CLIP > SAME IN [DEX] > HEAD [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,head,SAME IN,[DEL],CLIP > SAME IN [DEX] > HEAD [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,head,SAME OUT,[DEL],CLIP > SAME OUT [DEX] > HEAD [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,head,SAME OUT,[DEL],CLIP > SAME OUT [DEX] > HEAD [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,head,OP IN,[DEL],CLIP > OP IN [DEX] > HEAD [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,head,OP IN,[DEL],CLIP > OP IN [DEX] > HEAD [DEL],2,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,clipper,head,OP OUT,[DEL],CLIP > OP OUT [DEX] > HEAD [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,head,OP OUT,[DEL],CLIP > OP OUT [DEX] > HEAD [DEL],2,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,clipper,forehead,SAME IN,[DEL],CLIP > SAME IN [DEX] > FOREHEAD [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,forehead,SAME IN,[DEL],CLIP > SAME IN [DEX] > FOREHEAD [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,forehead,SAME OUT,[DEL],CLIP > SAME OUT [DEX] > FOREHEAD [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,forehead,SAME OUT,[DEL],CLIP > SAME OUT [DEX] > FOREHEAD [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,forehead,OP IN,[DEL],CLIP > OP IN [DEX] > FOREHEAD [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,forehead,OP IN,[DEL],CLIP > OP IN [DEX] > FOREHEAD [DEL],2,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,clipper,forehead,OP OUT,[DEL],CLIP > OP OUT [DEX] > FOREHEAD [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,forehead,OP OUT,[DEL],CLIP > OP OUT [DEX] > FOREHEAD [DEL],2,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,clipper,neck,SAME IN,[DEL],CLIP > SAME IN [DEX] > NECK [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,neck,SAME IN,[DEL],CLIP > SAME IN [DEX] > NECK [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,neck,SAME OUT,[DEL],CLIP > SAME OUT [DEX] > NECK [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,neck,SAME OUT,[DEL],CLIP > SAME OUT [DEX] > NECK [DEL],2,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,neck,OP IN,[DEL],CLIP > OP IN [DEX] > NECK [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,neck,OP IN,[DEL],CLIP > OP IN [DEX] > NECK [DEL],2,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,clipper,neck,OP OUT,[DEL],CLIP > OP OUT [DEX] > NECK [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,neck,OP OUT,[DEL],CLIP > OP OUT [DEX] > NECK [DEL],2,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,clipper,peak,SAME IN,[DEL],CLIP > SAME IN [DEX] > PEAK [DEL],2,failure,unresolved-notation,peak surface unresolved (apex vs timing marker)
1-dex,clipper,peak,SAME IN,[DEL],CLIP > SAME IN [DEX] > PEAK [DEL],2,failure,unresolved-notation,peak surface unresolved (apex vs timing marker)
1-dex,clipper,peak,SAME OUT,[DEL],CLIP > SAME OUT [DEX] > PEAK [DEL],2,failure,unresolved-notation,peak surface unresolved (apex vs timing marker)
1-dex,clipper,peak,SAME OUT,[DEL],CLIP > SAME OUT [DEX] > PEAK [DEL],2,failure,unresolved-notation,peak surface unresolved (apex vs timing marker)
1-dex,clipper,peak,OP IN,[DEL],CLIP > OP IN [DEX] > PEAK [DEL],2,failure,unresolved-notation,peak surface unresolved (apex vs timing marker)
1-dex,clipper,peak,OP IN,[DEL],CLIP > OP IN [DEX] > PEAK [DEL],2,failure,unresolved-notation,peak surface unresolved (apex vs timing marker)
1-dex,clipper,peak,OP OUT,[DEL],CLIP > OP OUT [DEX] > PEAK [DEL],2,failure,unresolved-notation,peak surface unresolved (apex vs timing marker)
1-dex,clipper,peak,OP OUT,[DEL],CLIP > OP OUT [DEX] > PEAK [DEL],2,failure,unresolved-notation,peak surface unresolved (apex vs timing marker)
1-dex,clipper,SAME clipper,SAME IN,[XBD] [DEL],CLIP > SAME IN [DEX] > SAME CLIPPER [XBD] [DEL],3,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,OP clipper,SAME IN,[XBD] [DEL],CLIP > SAME IN [DEX] > OP CLIPPER [XBD] [DEL],3,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,SAME clipper,SAME OUT,[XBD] [DEL],CLIP > SAME OUT [DEX] > SAME CLIPPER [XBD] [DEL],3,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,OP clipper,SAME OUT,[XBD] [DEL],CLIP > SAME OUT [DEX] > OP CLIPPER [XBD] [DEL],3,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,SAME clipper,OP IN,[XBD] [DEL],CLIP > OP IN [DEX] > SAME CLIPPER [XBD] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,OP clipper,OP IN,[XBD] [DEL],CLIP > OP IN [DEX] > OP CLIPPER [XBD] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,SAME clipper,OP OUT,[XBD] [DEL],CLIP > OP OUT [DEX] > SAME CLIPPER [XBD] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,OP clipper,OP OUT,[XBD] [DEL],CLIP > OP OUT [DEX] > OP CLIPPER [XBD] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,SAME heel,SAME IN,[UNS] [DEL],CLIP > SAME IN [DEX] > SAME HEEL [UNS] [DEL],3,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,OP heel,SAME IN,[UNS] [DEL],CLIP > SAME IN [DEX] > OP HEEL [UNS] [DEL],3,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,SAME heel,SAME OUT,[UNS] [DEL],CLIP > SAME OUT [DEX] > SAME HEEL [UNS] [DEL],3,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,OP heel,SAME OUT,[UNS] [DEL],CLIP > SAME OUT [DEX] > OP HEEL [UNS] [DEL],3,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,SAME heel,OP IN,[UNS] [DEL],CLIP > OP IN [DEX] > SAME HEEL [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,OP heel,OP IN,[UNS] [DEL],CLIP > OP IN [DEX] > OP HEEL [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,SAME heel,OP OUT,[UNS] [DEL],CLIP > OP OUT [DEX] > SAME HEEL [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,OP heel,OP OUT,[UNS] [DEL],CLIP > OP OUT [DEX] > OP HEEL [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,SAME sole,SAME IN,[UNS] [DEL],CLIP > SAME IN [DEX] > SAME SOLE [UNS] [DEL],3,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,OP sole,SAME IN,[UNS] [DEL],CLIP > SAME IN [DEX] > OP SOLE [UNS] [DEL],3,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,SAME sole,SAME OUT,[UNS] [DEL],CLIP > SAME OUT [DEX] > SAME SOLE [UNS] [DEL],3,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,OP sole,SAME OUT,[UNS] [DEL],CLIP > SAME OUT [DEX] > OP SOLE [UNS] [DEL],3,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,SAME sole,OP IN,[UNS] [DEL],CLIP > OP IN [DEX] > SAME SOLE [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,OP sole,OP IN,[UNS] [DEL],CLIP > OP IN [DEX] > OP SOLE [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,SAME sole,OP OUT,[UNS] [DEL],CLIP > OP OUT [DEX] > SAME SOLE [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,OP sole,OP OUT,[UNS] [DEL],CLIP > OP OUT [DEX] > OP SOLE [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,cloud,SAME IN,[UNS] [DEL],CLIP > SAME IN [DEX] > CLOUD [UNS] [DEL],3,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,cloud,SAME IN,[UNS] [DEL],CLIP > SAME IN [DEX] > CLOUD [UNS] [DEL],3,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,cloud,SAME OUT,[UNS] [DEL],CLIP > SAME OUT [DEX] > CLOUD [UNS] [DEL],3,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,cloud,SAME OUT,[UNS] [DEL],CLIP > SAME OUT [DEX] > CLOUD [UNS] [DEL],3,blocked,,cross-body launch forecloses the SAME dex-side face; grammar correctly rejects (not a failure)
1-dex,clipper,cloud,OP IN,[UNS] [DEL],CLIP > OP IN [DEX] > CLOUD [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,cloud,OP IN,[UNS] [DEL],CLIP > OP IN [DEX] > CLOUD [UNS] [DEL],3,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,clipper,cloud,OP OUT,[UNS] [DEL],CLIP > OP OUT [DEX] > CLOUD [UNS] [DEL],3,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,clipper,cloud,OP OUT,[UNS] [DEL],CLIP > OP OUT [DEX] > CLOUD [UNS] [DEL],3,failure,duplicate-generation,midline landing has one central target; the terminal-side axis over-generates a duplicate vertex
1-dex,self,SAME inside,SAME IN,[DEL],INSIDE > SAME IN [DEX] > SAME INSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,OP inside,SAME IN,[DEL],INSIDE > SAME IN [DEX] > OP INSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,SAME inside,SAME OUT,[DEL],INSIDE > SAME OUT [DEX] > SAME INSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,OP inside,SAME OUT,[DEL],INSIDE > SAME OUT [DEX] > OP INSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,SAME inside,OP IN,[DEL],INSIDE > OP IN [DEX] > SAME INSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,OP inside,OP IN,[DEL],INSIDE > OP IN [DEX] > OP INSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,SAME inside,OP OUT,[DEL],INSIDE > OP OUT [DEX] > SAME INSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,OP inside,OP OUT,[DEL],INSIDE > OP OUT [DEX] > OP INSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,SAME outside,SAME IN,[DEL],OUTSIDE > SAME IN [DEX] > SAME OUTSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,OP outside,SAME IN,[DEL],OUTSIDE > SAME IN [DEX] > OP OUTSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,SAME outside,SAME OUT,[DEL],OUTSIDE > SAME OUT [DEX] > SAME OUTSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,OP outside,SAME OUT,[DEL],OUTSIDE > SAME OUT [DEX] > OP OUTSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,SAME outside,OP IN,[DEL],OUTSIDE > OP IN [DEX] > SAME OUTSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,OP outside,OP IN,[DEL],OUTSIDE > OP IN [DEX] > OP OUTSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,SAME outside,OP OUT,[DEL],OUTSIDE > OP OUT [DEX] > SAME OUTSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,OP outside,OP OUT,[DEL],OUTSIDE > OP OUT [DEX] > OP OUTSIDE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,SAME knee,SAME IN,[DEL],KNEE > SAME IN [DEX] > SAME KNEE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,OP knee,SAME IN,[DEL],KNEE > SAME IN [DEX] > OP KNEE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,SAME knee,SAME OUT,[DEL],KNEE > SAME OUT [DEX] > SAME KNEE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,OP knee,SAME OUT,[DEL],KNEE > SAME OUT [DEX] > OP KNEE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,SAME knee,OP IN,[DEL],KNEE > OP IN [DEX] > SAME KNEE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,OP knee,OP IN,[DEL],KNEE > OP IN [DEX] > OP KNEE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,SAME knee,OP OUT,[DEL],KNEE > OP OUT [DEX] > SAME KNEE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,OP knee,OP OUT,[DEL],KNEE > OP OUT [DEX] > OP KNEE [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,SAME shoulder,SAME IN,[DEL],SHOULDER > SAME IN [DEX] > SAME SHOULDER [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,OP shoulder,SAME IN,[DEL],SHOULDER > SAME IN [DEX] > OP SHOULDER [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,SAME shoulder,SAME OUT,[DEL],SHOULDER > SAME OUT [DEX] > SAME SHOULDER [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,OP shoulder,SAME OUT,[DEL],SHOULDER > SAME OUT [DEX] > OP SHOULDER [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,SAME shoulder,OP IN,[DEL],SHOULDER > OP IN [DEX] > SAME SHOULDER [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,OP shoulder,OP IN,[DEL],SHOULDER > OP IN [DEX] > OP SHOULDER [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,SAME shoulder,OP OUT,[DEL],SHOULDER > OP OUT [DEX] > SAME SHOULDER [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self,OP shoulder,OP OUT,[DEL],SHOULDER > OP OUT [DEX] > OP SHOULDER [DEL],2,clean,,dex(1) + landing(grade) scored generators; ADD determinate
1-dex,self(toe),SAME toe,SAME IN,[DEL],TOE > SAME IN [DEX] > SAME TOE [DEL],2,failure,unexpected-redundancy,the toe self-fiber is identical to the toe-launch cube; the grammar generates the same coordinate twice
1-dex,self(toe),OP toe,SAME IN,[DEL],TOE > SAME IN [DEX] > OP TOE [DEL],2,failure,unexpected-redundancy,the toe self-fiber is identical to the toe-launch cube; the grammar generates the same coordinate twice
1-dex,self(toe),SAME toe,SAME OUT,[DEL],TOE > SAME OUT [DEX] > SAME TOE [DEL],2,failure,unexpected-redundancy,the toe self-fiber is identical to the toe-launch cube; the grammar generates the same coordinate twice
1-dex,self(toe),OP toe,SAME OUT,[DEL],TOE > SAME OUT [DEX] > OP TOE [DEL],2,failure,unexpected-redundancy,the toe self-fiber is identical to the toe-launch cube; the grammar generates the same coordinate twice
1-dex,self(toe),SAME toe,OP IN,[DEL],TOE > OP IN [DEX] > SAME TOE [DEL],2,failure,unexpected-redundancy,the toe self-fiber is identical to the toe-launch cube; the grammar generates the same coordinate twice
1-dex,self(toe),OP toe,OP IN,[DEL],TOE > OP IN [DEX] > OP TOE [DEL],2,failure,unexpected-redundancy,the toe self-fiber is identical to the toe-launch cube; the grammar generates the same coordinate twice
1-dex,self(toe),SAME toe,OP OUT,[DEL],TOE > OP OUT [DEX] > SAME TOE [DEL],2,failure,unexpected-redundancy,the toe self-fiber is identical to the toe-launch cube; the grammar generates the same coordinate twice
1-dex,self(toe),OP toe,OP OUT,[DEL],TOE > OP OUT [DEX] > OP TOE [DEL],2,failure,unexpected-redundancy,the toe self-fiber is identical to the toe-launch cube; the grammar generates the same coordinate twice
