"curator_decision","curator_notes","canonical_slug","display_name","source","source_file","source_adds","add_formula","add_confidence","symbolic_notation_raw","parsed_symbol_sequence","decomposition_status","doctrine_status","primary_operator","modifier_chain","equivalent_to","source_description","parser_notes","provenance_notes"
"","","pixie-paradon","Pixie Paradon","fborg","fborg-5add.txt","5","pixie(+1) + paradon(4) --> 5 ADDs","high","TOE > SAME IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]","","compound","settled","pixie","pixie","","From a right toe delay circle the footbag quickly with your right leg from in to out (pixie). Then plant your right leg and do a left leg out to in double dexterity- ending in a right leg clipper delay.","",""
"","","ricochet","Ricochet","footbagmoves","footbagmoves-5adds.txt","5","dex(1) + dex(1) + flapper-stall(3) --> 5 ADDs","high","Toe >> Op Out (DEX) >> Same Out (DEX) > Op Flapper (XBD)(UNS)(DEL)","toe ⟫ op out(DEX) ⟫ same out(DEX) › op flapper(XBD,UNS,DEL)","compound","settled","dex","double, cross-body, unusual-surface","","From a right toe set- hop off the left leg and circle the bag twice from out to in and end on a right flapper delay.","","FB.org 5-ADD confirms 'Ricochet' (source_adds=5; jobs='TOE > OP OUT [DEX] > SAME OUT [DEX] > OP SOLE [XBD] [UNS] [DEL]'); ingested 2026-05-21."
"","","scorpions-tail","Scorpion's Tail","footbagmoves","footbagmoves-5adds.txt","5","spinning(+1) + down-double-down(4) --> 5 ADDs","high","Clip >> (back) Spin (BOD) >> Op Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL)","clip ⟫ [back] spin(BOD) ⟫ op out(DEX) › same out(DEX) › op clip(XBD,DEL)","compound","settled","spinning","spinning","","A spinning down-double-down.","","FB.org 5-ADD confirms ""Scorpion's Tail"" (source_adds=5; jobs='CLIP > (back) SPIN [bod] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]'); ingested 2026-05-21."
"","","spike-hammer","Spike Hammer","fborg","fborg-5add.txt","5","stepping(+1) + ducking(+1) + paradox-mirage(3) --> 5 ADDs","high","CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL]","","compound","settled","stepping","stepping, ducking, paradox","","","",""
"","","spinning-paradox-whirl","Spinning Paradox Whirl","fborg","fborg-5add.txt","5","spinning(+1) + paradox-whirl(4) --> 5 ADDs","high","CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL]","","compound","settled","spinning","spinning, paradox","","","",""
"","","spyro-gyro","Spyro Gyro","footbagmoves","footbagmoves-5adds.txt","5","gyro(+1) + butterfly-swirl(4) --> 5 ADDs","high","Clip >> (back) Spin (BOD) >> Same Out (DEX) > Op Back Swirl (DEX) > Same Clip (XBD)(DEL)","clip ⟫ [back] spin(BOD) ⟫ same out(DEX) › op back swirl(DEX) › same clip(XBD,DEL)","compound","settled","gyro","gyro","","A gyrating butterfly swirl delay.","","FB.org 5-ADD confirms 'Spyro Gyro' (source_adds=5; jobs='CLIP > (BACK) SPIN [BOD] > SAME OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL]'); ingested 2026-05-21."
"","","stepping-whirling-swirl","Stepping Whirling Swirl","fborg","fborg-5add.txt","5","stepping(+1) + whirling-swirl(4) --> 5 ADDs","high","CLIP > OP IN [DEX] (plant) > SAME IN [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL]","","compound","settled","stepping","stepping","","","",""
"","","symposium-torque","Symposium Torque","fborg","fborg-5add.txt","5","symposium(+1) + torque(4) --> 5 ADDs","high","SET > (NO PLANT WHILE) OP IN [DEX] [BOD] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL]","","compound","settled","symposium","symposium","","","",""
"","","symposium-whirling-swirl","Symposium Whirling Swirl","fborg","fborg-5add.txt","5","symposium(+1) + whirling-swirl(4) --> 5 ADDs","high","CLIP > (NO PLANT WHILE) OP IN [DEX] [BOD] > OP IN SWIRL [DEX] > OP CLIP [XBD] [DEL]","","compound","settled","symposium","symposium","","","",""
"","","yoda","Yoda","footbagmoves","footbagmoves-5-6adds.txt","5","pixie(+1) + ripwalk(4) --> 5 ADDs","high","Toe > Same In (DEX) >> Op In (DEX) > Plant > Op Out (DEX) > Op Clip (XBD)(DEL)","toe › same in(DEX) ⟫ op in(DEX) › Plant › op out(DEX) › op clip(XBD,DEL)","compound","settled","pixie","pixie","yoda (live DB; Pixie Ripwalk)","","","FB.org 5-ADD confirms 'Yoda' (source_adds=5; jobs='TOE > SAME IN [DEX] > OP IN [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL]'); ingested 2026-05-21."
"","","paratoxic","Paratoxic","footbagmoves","footbagmoves-5-6adds.txt","6","paradox(+1) + symposium(+1) + whirl(3) + ?--> 6 ADDs","high","Clip >> Same In (DEX) > (no plant while) Op Front Whirl (DEX)(XDEX)(BOD)(PDX) > Op Clip (XBD)(DEL)","clip ⟫ same in(DEX) › [no plant while] op front whirl(DEX,XDEX,BOD,PDX) › op clip(XBD,DEL)","compound","settled","paradox","paradox, symposium","","","","FB.org 6-ADD confirms 'Paratoxic' (source_adds=6; jobs='CLIP > SAME IN [PDX] [DEX] > (no plant while) OP IN [BOD] [DEX] > OP CLIP [XBD] [DEL]'); ingested 2026-05-21."
"","","spinning-paradox-blender","Spinning Paradox Blender","fborg","fborg-6add.txt","6","spinning(+1) + paradox-blender(5) --> 6 ADDs","high","CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]","","compound","settled","spinning","spinning, paradox","","","Alt notation: TOE > (back) SPIN [BOD] > SAME IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL].",""
"","","spinning-symposium-down-double-down","Spinning Symposium Down Double Down","fborg","fborg-6add.txt","6","spinning(+1) + symposium(+1) + down-double-down(4) --> 6 ADDs","high","CLIP > (back) SPIN [BOD] > (no plant while) > OP OUT [BOD] [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]","","compound","settled","spinning","spinning, symposium","","","",""
"","","torch-r-rack","Torch-r Rack","footbagmoves","footbagmoves-5-6adds.txt","6","stepping(+1) + superfly(5) --> 6 ADDs","high","Clip > Op In (DEX) >> (no plant while) Op Out (DEX)(BOD) > Same Out (DEX) > Op Clip (XBD)(DEL)","clip › op in(DEX) ⟫ [no plant while] op out(DEX,BOD) › same out(DEX) › op clip(XBD,DEL)","compound","settled","stepping","stepping, symposium","","A stepping symposium double over down.","Source carries two alt-names: phonetic ""torture rack"" and structural ""Stepping Superfly"".","FB.org 6-ADD confirms 'Torch-r Rack' (source_adds=6; jobs='CLIP > OP IN [DEX] (plant) > (no plant while) SAME OUT [BOD] [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]'); ingested 2026-05-21."
"","","stepping-ducking-paradox-blender","Stepping Ducking Paradox Blender","fborg","fborg-7add.txt","7","stepping(+1) + ducking(+1) + paradox-blender(5) --> 7 ADDs","high","CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]","","compound","settled","stepping","stepping, ducking, paradox","","","",""
"","","stepping-ducking-ps-whirl","Stepping Ducking PS Whirl","footbagmoves","footbagmoves-sample.txt","7","stepping(+1) + ducking(+1) + paradox(+1) + symposium(+1) + whirl(3) --> 7 ADDs","high","CLIP > OP IN [DEX] > DUCK [BOD] > (no plant while) OP IN [PDX] [BOD] [DEX] > OP CLIP [XBD] [DEL]","clip › op in(DEX) › duck(BOD) › [no plant while] op in(PDX,BOD,DEX) › op clip(XBD,DEL)","compound","settled","stepping","stepping, ducking, paradox, symposium","","","","FB.org 7-ADD confirms 'Stepping Ducking PS Whirl' (source_adds=7; jobs='CLIP > OP IN [DEX] > DUCK [BOD] > (no plant while) OP IN [PDX] [BOD] [DEX] > OP CLIP [XBD] [DEL]'); ingested 2026-05-21."
