trick_slug,external_name,source,our_stated_add,our_computed_add,external_stated_add,external_computed_add,formula_used,operator_tokens,difference_type,severity,recommended_action,red_needed,notes
,Merlin,fm,4,4,5,4,miraging(+1) + symposium(+1) + mirage(2) = 4,Miraging|Symposium|Mirage,fm-stated-vs-its-formula,medium,FM-internal: their stated disagrees with their decomposition; IFPA aligns with formula. Accept divergence.,no,matrix_disposition: federation_math_divergence; FM math non-canonical (+1 delta; FM-over direction). IFPA canonical: miraging(+1) + symposium(+1) + mirage(2) = 4. Clean
,Enterrage,fm,6,5,4,5,terraging(+3) + legover(2) = 5,Terraging|Legover,fm-vs-ifpa-stated,medium,federation_math_divergence per existing matrix; accept-as-folk-evidence,no,"matrix_disposition: federation_math_divergence; FM math non-canonical (-2 delta; FM-under direction, same direction as Hurl/Barfry/Godzilla -1 cases but doubled magnitu"
atom-smasher,Atomsmasher,passback,4,4,2 (dex_count),3,atomic(+1 non-rot) + far(+0) + mirage(2) = 3,Atomic|far|Mirage,pb-metric-mismatch-structural-disagree,medium,PassBack dex_count vs IFPA ADD; PB decomposition diverges structurally too,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
around-the-world,ATW,passback,2,2,1 (dex_count),,no recognized base,toe|ss|leggy|in|dex|ss|toe,unresolved-tokens,medium,"defer; needs operator definition for: toe,leggy,in,dex,toe",yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
barfly,Barfly,passback,4,4,2 (dex_count),,clipper(1) + far(+0) + double(+0) + down(?) = unresolved,Clipper|far|Double|Down,unresolved-tokens,medium,defer; needs operator definition for: down,yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
barrage,Barrage,passback,3,3,2 (dex_count),,double-dex(?) + mirage(2) = unresolved,double-dex|Mirage,unresolved-tokens,medium,defer; needs operator definition for: double-dex,yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
barraging-osis,Barroque,passback,5,5,2 (dex_count),,double-dex(?) + torque(?) + barraging(+1) + far(+0) + osis(3) = unresolved,double-dex|Torque|Barraging|far|Osis,unresolved-tokens,medium,"defer; needs operator definition for: double-dex,torque",yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
blender,Blender,passback,4,4,1 (dex_count),4,whirling(+1) + osis(3) = 4,Whirling|Osis,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
blur,Blur,passback,4,4,2 (dex_count),3,stepping(+1) + far(+0) + mirage(2) = 3,Stepping|far|Mirage,pb-metric-mismatch-structural-disagree,medium,PassBack dex_count vs IFPA ADD; PB decomposition diverges structurally too,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
blurriest,Blurriest,passback,5,5,3 (dex_count),,no recognized base,Stepping|far|Double|Down,unresolved-tokens,medium,defer; needs operator definition for: down,yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
bullwhip,Bullwhip,passback,5,5,2 (dex_count),,no recognized base,Spinning|near|Double|Down,unresolved-tokens,medium,defer; needs operator definition for: down,yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
butterfly,Butterfly,passback,3,3,1 (dex_count),,hippy(?) + out(?) + dex(?) + ss(+0) + clipper(1) = unresolved,hippy|out|dex|ss|clipper,unresolved-tokens,medium,"defer; needs operator definition for: hippy,out,dex",yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
clipper,Clipper,passback,1,1,0 (dex_count),,no recognized base,xbd|inside|stall,unresolved-tokens,medium,"defer; needs operator definition for: xbd,inside,stall",yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
dada-curve,Dada Curve,passback,4,4,2 (dex_count),5,miraging(+1) + far(+0) + symp(+1) + butterfly(3) = 5,Miraging|far|Symp.|Butterfly,pb-metric-mismatch-structural-disagree,medium,PassBack dex_count vs IFPA ADD; PB decomposition diverges structurally too,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
dimwalk,Dimwalk,passback,4,4,2 (dex_count),4,pixie(+1) + far(+0) + butterfly(3) = 4,Pixie|far|Butterfly,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
drifter,Drifter,passback,3,3,1 (dex_count),2,miraging(+1) + far(+0) + clipper(1) = 2,Miraging|far|Clipper,pb-metric-mismatch-structural-disagree,medium,PassBack dex_count vs IFPA ADD; PB decomposition diverges structurally too,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
dyno,Dyno,passback,4,4,1 (dex_count),,whipping(?) + osis(3) = unresolved,Whipping|Osis,unresolved-tokens,medium,defer; needs operator definition for: whipping,yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
eggbeater,Eggbeater,passback,3,3,2 (dex_count),3,illusioning(+1) + legover(2) = 3,Illusioning|Legover,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
flail,Flail,passback,3,3,1 (dex_count),3,symp(+1) + illusion(2) = 3,Symp.|Illusion,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
cross-body-sole-stall,Flapper,passback,3,3,,,no recognized base,Xbd|Sole|Stall,unresolved-tokens,medium,"defer; needs operator definition for: xbd,sole,stall",yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
flurry,Flurry,passback,4,4,3 (dex_count),3,barraging(+1) + far(+0) + legover(2) = 3,Barraging|far|Legover,pb-metric-mismatch-structural-disagree,medium,PassBack dex_count vs IFPA ADD; PB decomposition diverges structurally too,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
fog,Fog,passback,5,5,3 (dex_count),,no recognized base,Stepping|far|DLO,unresolved-tokens,medium,defer; needs operator definition for: dlo,yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
food-processor,Food Processor,passback,6,6,2 (dex_count),5,stepping(+1) + far(+0) + blender(4) = 5,Stepping|far|Blender,pb-metric-mismatch-structural-disagree,medium,PassBack dex_count vs IFPA ADD; PB decomposition diverges structurally too,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
fury,Fury,passback,5,5,3 (dex_count),3,barraging(+1) + far(+0) + mirage(2) = 3,Barraging|far|Mirage,pb-metric-mismatch-structural-disagree,medium,PassBack dex_count vs IFPA ADD; PB decomposition diverges structurally too,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
fusion,Fusion,passback,5,5,3 (dex_count),,no recognized base,Atomic|far|Double|Down,unresolved-tokens,medium,"defer; needs operator definition for: atomic,down",yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
gauntlet,Gauntlet,passback,7,7,2 (dex_count),6,stepping(+1) + ducking(+1) + torque(4) = 6,Stepping|Ducking|Torque,pb-metric-mismatch-structural-disagree,medium,PassBack dex_count vs IFPA ADD; PB decomposition diverges structurally too,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
grave-digger,Gravedigger,passback,5,5,2 (dex_count),5,stepping(+1) + near(+0) + torque(4) = 5,Stepping|near|Torque,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
guay,Guay,passback,2,2,,2,pickup(2) = 2,Pickup,agree-pb-structural,low,no action,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
hatchet,Hatchet,passback,4,4,1 (dex_count),,clipper(?) + diving(+1) + near(+0) + whirl(3) = unresolved,Clipper|Diving|near|Whirl,unresolved-tokens,medium,defer; needs operator definition for: clipper,yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
high-plains-drifter,High Plains Drifter,passback,4,4,2 (dex_count),,double-dex(?) + drifter(?) + barraging(+1) + far(+0) + clipper(1) = unresolved,double-dex|Drifter|Barraging|far|Clipper,unresolved-tokens,medium,"defer; needs operator definition for: double-dex,drifter",yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
illusion,Illusion,passback,2,2,1 (dex_count),,no recognized base,leggy|out|dex|op|toe,unresolved-tokens,medium,"defer; needs operator definition for: leggy,out,dex,toe",yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
atomic-butterfly,Legbeater,passback,4,4,2 (dex_count),4,atomic(+1 non-rot) + far(+0) + butterfly(3) = 4,Atomic|far|Butterfly,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
legeater,Legeater,passback,3,3,2 (dex_count),3,miraging(+1) + pickup(2) = 3,Miraging|Pickup,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
legover,Legover,passback,2,2,1 (dex_count),,no recognized base,leggy|out|dex|ss|toe,unresolved-tokens,medium,"defer; needs operator definition for: leggy,out,dex,toe",yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
magellan,Magellan,passback,3,3,2 (dex_count),3,pixie(+1) + near(+0) + legover(2) = 3,Pixie|near|Legover,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
spinning-torque,Marius,passback,5,5,1 (dex_count),5,spinning(+1) + torque(4) = 5,Spinning|Torque,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
matador,Matador,passback,5,5,2 (dex_count),5,nuclear(+2) + far(+0) + butterfly(3) = 5,Nuclear|far|Butterfly,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
merkon,Merkon,passback,3,3,1 (dex_count),3,spinning(+1) + legover(2) = 3,Spinning|Legover,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
mind-bender,Mind Bender,passback,6,6,1 (dex_count),,clipper(?) + ducking(+1) + far(+0) + blender(4) = unresolved,Clipper|Ducking|far|Blender,unresolved-tokens,medium,defer; needs operator definition for: clipper,yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
mirage,Mirage,passback,2,2,1 (dex_count),,no recognized base,hippy|in|dex|op|toe,unresolved-tokens,medium,"defer; needs operator definition for: hippy,in,dex,toe",yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
mobius,Mobius,passback,5,5,1 (dex_count),,gyro(?) + torque(4) = unresolved,Gyro|Torque,unresolved-tokens,medium,defer; needs operator definition for: gyro,yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
montage,Montage,passback,7,7,1 (dex_count),6,spinning(+1) + ducking(+1) + far(+0) + symp(+1) + whirl(3) = 6,Spinning|Ducking|far|Symp.|Whirl,pb-metric-mismatch-structural-disagree,medium,PassBack dex_count vs IFPA ADD; PB decomposition diverges structurally too,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
mullet,Mullet,passback,6,6,1 (dex_count),,clipper(?) + ducking(+1) + far(+0) + symp(+1) + whirl(3) + symp(+1) + tomahwak(?) = unresolved,Clipper|Ducking|far|Symp.|Whirl|Symp.|Tomahwak,unresolved-tokens,medium,"defer; needs operator definition for: clipper,tomahwak",yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
nemesis,Nemesis,passback,6,6,4 (dex_count),,no recognized base,Barraging|far|Double|Down,unresolved-tokens,medium,defer; needs operator definition for: down,yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
osis,Osis,passback,3,3,0 (dex_count),,gyro(?) + clipper(1) = unresolved,Gyro|Clipper,unresolved-tokens,medium,defer; needs operator definition for: gyro,yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
paradon,Paradon,passback,4,4,2 (dex_count),,no recognized base,Toe|far|Double|Down,unresolved-tokens,medium,"defer; needs operator definition for: toe,down",yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
parkwalk,Parkwalk,passback,4,4,2 (dex_count),4,pixie(+1) + near(+0) + butterfly(3) = 4,Pixie|near|Butterfly,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
paste,Paste,passback,3,3,2 (dex_count),3,pixie(+1) + far(+0) + pickup(2) = 3,Pixie|far|Pickup,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
phoenix,Phoenix,passback,5,5,2 (dex_count),5,pixie(+1) + ducking(+1) + butterfly(3) = 5,Pixie|Ducking|Butterfly,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
pickup,Pickup,passback,2,2,1 (dex_count),,no recognized base,leggy|in|dex|ss|toe,unresolved-tokens,medium,"defer; needs operator definition for: leggy,in,dex,toe",yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
pigbeater,Pigbeater,passback,4,4,3 (dex_count),4,pixie(+1) + far(+0) + eggbeater(3) = 4,Pixie|far|Eggbeater,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
plasma,Plasma,passback,5,5,3 (dex_count),,no recognized base,Quantum|far|Double|Down,unresolved-tokens,medium,defer; needs operator definition for: down,yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
paradox-symposium-whirl,PS Whirl,passback,5,5,,,pdx(?) + symp(+1) + whirl(3) + clipper(?) + far(+0) + symp(+1) + whirl(3) = unresolved,Pdx|Symp|Whirl|Clipper|far|Symp|Whirl,unresolved-tokens,medium,"defer; needs operator definition for: pdx,clipper",yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
reaper,Reaper,passback,3,3,2 (dex_count),,clipper(1) + far(+0) + dso(?) = unresolved,Clipper|far|DSO,unresolved-tokens,medium,defer; needs operator definition for: dso,yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
refraction,Refraction,passback,3,3,1 (dex_count),,butterfy(?) + near(+0) + osis(3) = unresolved,Butterfy|near|Osis,unresolved-tokens,medium,defer; needs operator definition for: butterfy,yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
rev-up,Revup,passback,3,3,2 (dex_count),,twisting(?) + near(+0) + pickup(2) = unresolved,Twisting|near|Pickup,unresolved-tokens,medium,defer; needs operator definition for: twisting,yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
ripstein,Ripstein,passback,4,4,2 (dex_count),,double-dex(?) + swirl(3) + swirling(?) + near(+0) + swirl(3) = unresolved,double-dex|Swirl|Swirling|near|Swirl,unresolved-tokens,medium,"defer; needs operator definition for: double-dex,swirling",yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
ripwalk,Ripwalk,passback,4,4,2 (dex_count),4,stepping(+1) + far(+0) + butterfly(3) = 4,Stepping|far|Butterfly,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
royale,Royale,passback,4,4,1 (dex_count),,clipper(1) + far(+0) + grifter(?) = unresolved,Clipper|far|Grifter,unresolved-tokens,medium,defer; needs operator definition for: grifter,yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
smear,Smear,passback,3,3,2 (dex_count),3,pixie(+1) + mirage(2) = 3,Pixie|Mirage,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
smog,Smog,passback,4,4,3 (dex_count),,pixie(2) + far(+0) + dlo(?) = unresolved,Pixie|far|DLO,unresolved-tokens,medium,defer; needs operator definition for: dlo,yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
smoke,Smoke,passback,4,4,2 (dex_count),4,pixie(+1) + far(+0) + drifter(3) = 4,Pixie|far|Drifter,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
smudge,Smudge,passback,3,3,2 (dex_count),3,pixie(+1) + illusion(2) = 3,Pixie|Illusion,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
spender,Spender,passback,6,6,1 (dex_count),5,spinning(+1) + far(+0) + blender(4) = 5,Spinning|far|Blender,pb-metric-mismatch-structural-disagree,medium,PassBack dex_count vs IFPA ADD; PB decomposition diverges structurally too,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
sumo,Sumo,passback,5,5,2 (dex_count),4,nuclear(+2) + far(+0) + mirage(2) = 4,Nuclear|far|Mirage,pb-metric-mismatch-structural-disagree,medium,PassBack dex_count vs IFPA ADD; PB decomposition diverges structurally too,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
superfly,Superfly,passback,5,5,2 (dex_count),,clipper(1) + far(+0) + symp(+1) + double(+0) + down(?) = unresolved,Clipper|far|Symp.|Double|Down,unresolved-tokens,medium,defer; needs operator definition for: down,yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
surge,Surge,passback,5,5,2 (dex_count),,surging(?) + far(+0) + mirage(2) = unresolved,Surging|far|Mirage,unresolved-tokens,medium,defer; needs operator definition for: surging,yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
surreal,Surreal,passback,6,6,2 (dex_count),,surging(?) + far(+0) + whirl(3) = unresolved,Surging|far|Whirl,unresolved-tokens,medium,defer; needs operator definition for: surging,yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
swirl,Swirl,passback,3,3,1 (dex_count),,xbd(?) + leggy(?) + out(?) + dex(?) + ss(+0) + clipper(1) = unresolved,xbd|leggy|out|dex|ss|clipper,unresolved-tokens,medium,"defer; needs operator definition for: xbd,leggy,out,dex",yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
tap,Tap,passback,3,3,2 (dex_count),3,atomic(+1 non-rot) + near(+0) + mirage(2) = 3,Atomic|near|Mirage,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
terrage,Terrage,passback,4,4,2 (dex_count),,no recognized base,"Toe|near|Barrage|double-dex|""Pixie""",unresolved-tokens,medium,"defer; needs operator definition for: toe,barrage,double-dex,""pixie""",yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
quantum,Toe Blur,passback,2,2,2 (dex_count),3,quantum(+1) + far(+0) + mirage(2) = 3,Quantum|far|Mirage,agree-pb-structural,low,no action,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
tomahawk,Tomahawk,passback,5,5,1 (dex_count),,clipper(?) + ducking(+1) + far(+0) + whirl(3) = unresolved,Clipper|Ducking|far|Whirl,unresolved-tokens,medium,defer; needs operator definition for: clipper,yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
tombstone,Tombstone,passback,4,4,2 (dex_count),4,stepping(+1) + near(+0) + drifter(3) = 4,Stepping|near|Drifter,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
torque,Torque,passback,4,4,1 (dex_count),4,miraging(+1) + far(+0) + osis(3) = 4,Miraging|far|Osis,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
tripwalk,Tripwalk,passback,4,4,2 (dex_count),4,quantum(+1) + far(+0) + butterfly(3) = 4,Quantum|far|Butterfly,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
venom,Venom,passback,6,6,3 (dex_count),,no recognized base,Surging|far|Double|Down,unresolved-tokens,medium,"defer; needs operator definition for: surging,down",yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
vortex,Vortex,passback,4,4,1 (dex_count),4,spinning(+1) + near(+0) + drifter(3) = 4,Spinning|near|Drifter,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
walk-over,Walkover,passback,2,2,,,inside(?) + stall(?) + place(?) + foot(?) + on(?) + ground(?) + step(?) + over(?) + into(?) + clipper(1) + or(?) + reverse(+0) + direction(?) = unresolved,Inside|Stall|place|foot|on|ground|step|over|into|Clipper|or|reverse|direction,unresolved-tokens,medium,"defer; needs operator definition for: inside,stall,place,foot,on,ground,step,over,into,or,direction",yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
rev-whirl,Whip,passback,3,3,1 (dex_count),,rev(?) + whirl(3) = unresolved,Rev.|Whirl,unresolved-tokens,medium,defer; needs operator definition for: rev,yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
whirl,Whirl,passback,3,3,1 (dex_count),,leggy(?) + in(?) + dex(?) + ss(+0) + clipper(1) = unresolved,leggy|in|dex|ss|clipper,unresolved-tokens,medium,"defer; needs operator definition for: leggy,in,dex",yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
spinning-symposium-whirl,Whirlwind,passback,5,5,1 (dex_count),5,spinning(+1) + far(+0) + symp(+1) + whirl(3) = 5,Spinning|far|Symp.|Whirl,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
around-the-world,ATW,passback,2,2,,,,,agree-pb-structural,low,no action,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
clipper,Clipper,passback,1,1,,,,,agree-pb-structural,low,no action,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
double-leg-over,DLO,passback,3,3,,,,,agree-pb-structural,low,no action,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
double-around-the-world,Double ATW,passback,3,3,,,,,agree-pb-structural,low,no action,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
eggbeater,Eggbeater,passback,3,3,,3,illusioning(+1) + legover(2) = 3,Illusioning|Legover,agree-pb-structural,low,no action,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
flurry,Flurry,passback,4,4,,3,barraging(+1) + legover(2) = 3,Barraging|Legover,agree-pb-structural,low,no action,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
illusion,Illusion,passback,2,2,,,,,agree-pb-structural,low,no action,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
legover,Legover,passback,2,2,,,,,agree-pb-structural,low,no action,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
magellan,Magellan,passback,3,3,,3,pixie(+1) + ss(+0) + legover(2) = 3,Pixie|ss|Legover,agree-pb-structural,low,no action,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
mirage,Mirage,passback,2,2,,,,,agree-pb-structural,low,no action,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
pickup,Pickup,passback,2,2,,,,,agree-pb-structural,low,no action,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
pigbeater,Pigbeater,passback,4,4,,4,pixie(+1) + op(+0) + eggbeater(3) = 4,Pixie|op|Eggbeater,agree-pb-structural,low,no action,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
smear,Smear,passback,3,3,,3,pixie(+1) + op(+0) + mirage(2) = 3,Pixie|op|Mirage,agree-pb-structural,low,no action,no,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
smog,Smog,passback,4,4,,,pixie(2) + op(+0) + dlo(?) = unresolved,Pixie|op|DLO,unresolved-tokens,medium,defer; needs operator definition for: dlo,yes,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
