trick_name,source,proposed_formula,formula_status,add_status,topology_status,blocker_type,blocker_description,recommended_next_step,wave2_dependency,safe_to_publish_observationally,coverage_tier,notes
Symple Butterfly (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Symple Reverse Swirl (far),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Symple Reverse Swirl (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Symple Swirl (far),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Symple Swirl (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Tap,footbagmoves,atomic near mirage,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Terrage,footbagmoves,Double Pixie,exact_formula,divergent,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Weaving Clipper,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Weaving Legover,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Weaving Pickup,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Whirl,footbagmoves,,exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Whirl (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Zulu Legover,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Zulu Pickup,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Pixie Whirl,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Pixie Whirl (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
PS Illusion,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
PS Mirage,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Pteradon,footbagmoves,Toe set os Double Over Down Dragon,observational_formula,external_only,unknown,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: toe,set,os",curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Puck,footbagmoves,Pixie Ducking Legover,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Quagmire,footbagmoves,Quantum Gyro Mirage,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Quantum Butterfly (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Quantum Osis,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Reverse Swirling Osis,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Reverse Whirling Rake,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Revstein,footbagmoves,Double Reverse Swirl,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Ripstein,footbagmoves,Double Swirl,exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Ripwalk,footbagmoves,stepping butterfly,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Royale,footbagmoves,paradox reverse drifter,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Sidewalk,footbagmoves,stepping near butterfly,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Slap,footbagmoves,Slapping Mirage,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: slapping,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Slapdown,footbagmoves,Slapping Butterfly,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Smog,footbagmoves,pixie double legover,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Smoke,footbagmoves,pixie drifter,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Spinning Butterfly,footbagmoves,spinning butterfly,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Spinning Ducking Clipper,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Spinning Osis,footbagmoves,spinning osis,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Spinning Pdx Illusion,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Spinning Pdx Mirage,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Stepping Eggbeater (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Stepping Illusion (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Stepping Mirage (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Stepping Osis,footbagmoves,stepping osis,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Stepping Osis (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Swifter,footbagmoves,Drifter Swirl,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Symp Whirl,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Symp Whirl,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Symp Whirl (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Symposium Eggbeater,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Tap Dance,footbagmoves,Pixie ss Original Tap,observational_formula,external_only,unknown,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: original,tap",curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Tapdown,footbagmoves,Tapping Butterfly,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Tombstone,footbagmoves,Stepping Drifter (same side),exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Torque,footbagmoves,miraging osis,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Torque (same side),footbagmoves,miraging osis,exact_formula,stable,unknown,none,external formula matches an IFPA chain reading,no_action,false,false,tier_a_canonical_exact,
Torus,footbagmoves,Fyro Mirage,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: fyro,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Tremor,footbagmoves,Tapping Drifter,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Triple ATW in-out,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Triple ATW out-in,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Tripwalk,footbagmoves,stepping quantum butterfly,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Twirl,footbagmoves,Reverse Swirling Osis,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Vortex,footbagmoves,gyro drifter,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Wahnsinn,footbagmoves,Pixie Ducking Spinning Toe,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: toe,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Weaving Butterfly,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Weaving Osis,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Weaving Whirl,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Whale Tail,footbagmoves,Surging Legover,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
What!?,footbagmoves,Butterflying Symposium Reverse Swirling Toe,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Whirling far Butterfly,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Whirling pdx Mirage,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Whirling Rake,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Whirling Swirl,footbagmoves,,exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Whirr,footbagmoves,Double Whirl,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Witchdoctor,footbagmoves,atomic symposium mirage,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Zig Zag,footbagmoves,Swirling Reverse Swirl,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: swirling,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Zipwalk,footbagmoves,Zipper Stepping Op Butterfly Zipper,observational_formula,external_only,unknown,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: zipper,zipper",curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Zulu Le Loup,footbagmoves,Zulu Butterfly,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: zulu,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Zulu Osis,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Trixie,footbagmoves,Triple Pixie,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Trochus,footbagmoves,Atomic Flail,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: flail,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Tutifruti,footbagmoves,Frootie Legover,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: frootie,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Vertigo,footbagmoves,Ducking Paradox Drifter,policy_dependent_formula,external_only,branch_family_implicit,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,hidden-branch-family candidate; Wave 2-dependent on operator boundary
Wentletrappe,footbagmoves,Fyro Double Legover,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: fyro,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Whirlwalk,footbagmoves,Blazing Paradox Whirl,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Whisk,footbagmoves,Paradox Symposium Eggbeater,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Yoda,footbagmoves,Pixie Quantum Butterfly,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Zulu Whirl,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
69,footbagmoves,Nuclear Drifter,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Anoxia,footbagmoves,Spinning Ducking Paradox Symposium Mirage,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Arch Nemesis,footbagmoves,Barraging ss Double Double Down,policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Atom Bomb,footbagmoves,Flailing Symposium Mirage,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Big Apple,footbagmoves,Gyro Symposium Torque,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Bill & Ted`s Bogus Journey,footbagmoves,Flailing ss Symposium Double Legover,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: flailing,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Blurrage,footbagmoves,Blurry Barrage,policy_dependent_formula,external_only,structurally_placed,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Colossus,footbagmoves,Spyro Diving Symposium Whirl,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Compound Fracture,footbagmoves,Railing ss Double Legover,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: railing,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Cristal,footbagmoves,Quantum Ducking Whirl,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Croissant,footbagmoves,Pixie Symposium Whirling Swirl,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Cyborg,footbagmoves,Stepping Ducking Far Butterfly Swirl,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Dorshatrix,footbagmoves,Railing Mirage,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: railing,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Downward Spiral,footbagmoves,Phasing ss Dyno,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: phasing,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Dwirl,footbagmoves,Double Twirl,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: twirl,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Ego,footbagmoves,Atomic Ducking Whirl,policy_dependent_formula,external_only,branch_family_implicit,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,hidden-branch-family candidate; Wave 2-dependent on operator boundary
Fairy Tale,footbagmoves,Fairy Spinning Double Over Down,policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Fender Bender,footbagmoves,Fairy Ducking Blender,policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Fission,footbagmoves,Furious Illusion,policy_dependent_formula,external_only,structurally_placed,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Food Processor,footbagmoves,blurry blender | stepping paradox blender,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Forquelift,footbagmoves,Fairy Ducking Torque,policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Fury,footbagmoves,Furious Mirage,exact_formula,divergent,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Gary Coleman,footbagmoves,Atomic Symposium Whirl,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Golden Shower,footbagmoves,Blurry Ducking Eggbeater,policy_dependent_formula,external_only,structurally_placed,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Heart,footbagmoves,Pixie Quantum Double Over Down Swirl,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Ill Frenzy,footbagmoves,Frootie Illusion,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: frootie,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Irish Cream,footbagmoves,Neutron Torque,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Johny Vodka,footbagmoves,Pyro Torque,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: pyro,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Juno Reactor,footbagmoves,Sailing Whirl,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: sailing,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Kill Frenzy,footbagmoves,Frootie Mirage,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: frootie,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Kiss Of The Scorpion,footbagmoves,Pixie Spinning Double Over Down,observational_formula,external_only,unknown,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: over,down",curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Kiwi,footbagmoves,Tapping Double Over Down,no_formula_available,external_only,unknown,folk_derived,folk name; mechanical decomposition uncertain,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,folk-derived; no mechanical decomposition
Leviathan,footbagmoves,Stepping Ducking Far Double Over Down,observational_formula,external_only,unknown,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: over,down",curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Locomotion,footbagmoves,Stepping Far Motion,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Maelstrom,footbagmoves,Spinning Ducking Paradox Whirl,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Marius,footbagmoves,spinning torque,exact_formula,divergent,unknown,none,alias of an existing IFPA canonical row,no_action,false,false,tier_a_canonical_exact,
Massacre,footbagmoves,Bubba Paradox Flail,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Mind Bender,footbagmoves,ducking paradox blender,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Moby Dick,footbagmoves,Gyro Torquescrew,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Mofly,footbagmoves,Miraging Symposium Double Over Down,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Morpheus,footbagmoves,Spinning Ducking Paradox Drifter,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Motion Sickness,footbagmoves,Spinning Motion,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Mullet,footbagmoves,Ducking Paradox Symposium Whirl,exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Nemesis,footbagmoves,furious barfly,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Omelette Du Fromage,footbagmoves,Railing Illusion,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: railing,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Orpheus,footbagmoves,Toe set ss Triple Over Down,observational_formula,external_only,unknown,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: toe,set,over",curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Paratoxic,footbagmoves,Paradox Toxic,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Phobia,footbagmoves,Fyro Torque,policy_dependent_formula,external_only,branch_family_implicit,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,hidden-branch-family candidate; Wave 2-dependent on operator boundary
Quark,footbagmoves,Quantum Torque,policy_dependent_formula,external_only,branch_family_implicit,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,hidden-branch-family candidate; Wave 2-dependent on operator boundary
Raildown,footbagmoves,Railing ss Butterfly,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: railing,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Railwalk,footbagmoves,Railing Butterfly,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: railing,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Ropaduleo,footbagmoves,Railing Ducking Legover,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: railing,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
